#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122675.1-p1      -            955 1924at5820           -            822         0 1773.9  41.2   1   2         0         0 1451.3  29.7     8   657     4   703     2   711 0.97 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 1924at5820           -            822         0 1773.9  41.2   2   2  1.2e-100   8.5e-98  326.7   3.6   651   822   762   955   748   955 0.92 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 1924at5820           -            822   1.2e-82  276.6   2.9   1   1   1.8e-82   1.2e-79  266.6   2.9   274   739   233   714   202   724 0.77 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 1924at5820           -            822   2.7e-81  272.1   7.3   1   2   2.2e-12   1.5e-09   34.8   0.1   225   374   208   350   167   371 0.86 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 1924at5820           -            822   2.7e-81  272.1   7.3   2   2   7.1e-74   4.9e-71  238.2   4.0   388   727   395   743   388   782 0.84 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 1924at5820           -            822   3.7e-73  245.2   7.1   1   3   1.2e-09   8.4e-07   25.7   0.6   221   409   291   472   230   477 0.73 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 1924at5820           -            822   3.7e-73  245.2   7.1   2   3   5.8e-66     4e-63  212.0   0.2   433   655   475   721   450   732 0.85 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 1924at5820           -            822   3.7e-73  245.2   7.1   3   3    0.0011      0.73    6.0   0.1   647   727   741   827   727   842 0.75 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1924at5820           -            822   4.9e-72  241.5   0.6   1   2   1.3e-70   8.9e-68  227.4   0.2   232   655   191   601   188   607 0.85 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1924at5820           -            822   4.9e-72  241.5   0.6   2   2   0.00096      0.66    6.2   0.0   677   728   710   766   705   797 0.74 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084615.1-p1      -            758 1924at5820           -            822   1.7e-71  239.7   1.0   1   1   2.8e-73   1.9e-70  236.2   1.0   221   731   148   661   134   680 0.82 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
