#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079740.1-p1      -            933 3692at5820           -            699         0 1029.7 149.1   1   3  5.1e-158  1.4e-154  514.6  48.0     1   306    26   365    26   372 0.92 | transcript=PVX_079740.1 | gene=PVX_079740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:55713-59334(-) | protein_length=933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079740.1-p1      -            933 3692at5820           -            699         0 1029.7 149.1   2   3   1.3e-83   3.7e-80  268.6  76.7   309   541   412   702   395   707 0.87 | transcript=PVX_079740.1 | gene=PVX_079740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:55713-59334(-) | protein_length=933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079740.1-p1      -            933 3692at5820           -            699         0 1029.7 149.1   3   3     8e-80   2.2e-76  256.2   8.5   541   698   737   905   722   906 0.91 | transcript=PVX_079740.1 | gene=PVX_079740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:55713-59334(-) | protein_length=933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   1  11      0.19   5.2e+02   -2.9   2.4    57   119   335   394   303   403 0.81 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   2  11       1.3   3.5e+03   -5.6   4.1   353   419   941  1007   938  1043 0.63 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   3  11    0.0017       4.8    3.8   7.0     1    55  1336  1397  1336  1414 0.71 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   4  11         2   5.5e+03   -6.7  10.5    12   109  1411  1515  1397  1521 0.62 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   5  11   0.00095       2.6    4.7  13.0    11    68  1553  1610  1549  1620 0.86 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   6  11   1.7e-05     0.046   10.5   1.5     6    67  1667  1728  1664  1729 0.87 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   7  11     0.012        33    1.1   7.0     8    58  1721  1775  1718  1789 0.84 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   8  11   8.4e-06     0.023   11.5  10.9    12    77  1845  1908  1842  1914 0.83 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1   9  11     8e-10   2.2e-06   24.8  33.1    11   348  2136  2475  2119  2497 0.70 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1  10  11      0.18   5.1e+02   -2.9  17.2   401   529  2606  2727  2561  2772 0.72 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 3692at5820           -            699   2.2e-06   24.8  33.1  11  11       0.7   1.9e+03   -4.8   3.0   233   275  2943  2985  2925  3007 0.73 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3692at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3692at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:19 2026
# [ok]
