#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114850.1-p1      -            877 2392at5820           -            678         0 1402.0  32.2   1   3   3.4e-26   1.7e-23   81.2   0.7     1    53     3    55     3    62 0.92 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 2392at5820           -            678         0 1402.0  32.2   2   3  1.4e-261  6.8e-259  859.1  13.1    39   459   146   573    98   578 0.93 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 2392at5820           -            678         0 1402.0  32.2   3   3  1.4e-144  6.8e-142  472.5   3.8   453   678   597   834   585   834 0.95 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2392at5820           -            678   7.6e-40  135.2  24.0   1   3       8.4   4.2e+03   -6.0   3.2    88    88   128   128    63   187 0.49 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2392at5820           -            678   7.6e-40  135.2  24.0   2   3   1.8e-24   9.2e-22   75.5   5.7   179   436   530   796   516   830 0.75 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 2392at5820           -            678   7.6e-40  135.2  24.0   3   3   4.9e-24   2.5e-21   74.0   0.7   488   621  1415  1549  1392  1559 0.88 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113395.1-p1      -           1522 2392at5820           -            678   1.1e-38  131.4  10.2   1   2   1.6e-39   7.8e-37  125.3   3.7   193   418   625   859   612   873 0.82 | transcript=PVX_113395.1 | gene=PVX_113395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=Pv_Sal1_chr11:1834500-1839221(-) | protein_length=1522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113395.1-p1      -           1522 2392at5820           -            678   1.1e-38  131.4  10.2   2   2   0.00016     0.079    9.6   0.4   490   598   964  1082   925  1109 0.74 | transcript=PVX_113395.1 | gene=PVX_113395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=Pv_Sal1_chr11:1834500-1839221(-) | protein_length=1522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 2392at5820           -            678   1.8e-35  120.7  11.0   1   2   9.6e-20   4.8e-17   59.9   0.0   200   376   348   538   340   549 0.85 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 2392at5820           -            678   1.8e-35  120.7  11.0   2   2   3.6e-22   1.8e-19   67.9   0.4   490   606  1219  1335  1214  1376 0.87 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 2392at5820           -            678   1.3e-34  117.9  15.3   1   2   8.1e-26   4.1e-23   79.9   6.2   124   457    54   413    44   430 0.68 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
