#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114965.1-p1      -           1948 579at5820            -           1498         0 2537.9  84.2   1   2         0         0 1295.8  31.0    54   812    59  1102     3  1128 0.84 | transcript=PVX_114965.1 | gene=PVX_114965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:452487-458333(-) | protein_length=1948 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114965.1-p1      -           1948 579at5820            -           1498         0 2537.9  84.2   2   2         0         0 1245.5  45.6   757  1498  1137  1948  1118  1948 0.89 | transcript=PVX_114965.1 | gene=PVX_114965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:452487-458333(-) | protein_length=1948 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088025.1-p1      -           2312 579at5820            -           1498   5.9e-67  224.6  38.7   1   4   1.7e-22   1.5e-19   67.5   1.8   422   529   926  1032   920  1050 0.88 | transcript=PVX_088025.1 | gene=PVX_088025 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:371197-378848(-) | protein_length=2312 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088025.1-p1      -           2312 579at5820            -           1498   5.9e-67  224.6  38.7   2   4       1.2   1.1e+03   -4.9   3.5   103   183  1665  1745  1624  1787 0.53 | transcript=PVX_088025.1 | gene=PVX_088025 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:371197-378848(-) | protein_length=2312 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088025.1-p1      -           2312 579at5820            -           1498   5.9e-67  224.6  38.7   3   4   2.7e-19   2.5e-16   56.9   3.2  1023  1139  1902  2014  1878  2023 0.86 | transcript=PVX_088025.1 | gene=PVX_088025 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:371197-378848(-) | protein_length=2312 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088025.1-p1      -           2312 579at5820            -           1498   5.9e-67  224.6  38.7   4   4   1.4e-33   1.3e-30  104.2   6.9  1178  1496  2018  2307  2007  2309 0.65 | transcript=PVX_088025.1 | gene=PVX_088025 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:371197-378848(-) | protein_length=2312 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085567.1-p1      -            228 579at5820            -           1498       0.4    6.5  19.4   1   1    0.0005      0.46    6.2  19.4    32   157    48   179    10   194 0.54 | transcript=PVX_085567.1 | gene=PVX_085567 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1286917-1288472(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090070.1-p1      -            290 579at5820            -           1498      0.73    5.6  37.6   1   1   0.00082      0.75    5.6  37.6   746   868   165   283    57   290 0.41 | transcript=PVX_090070.1 | gene=PVX_090070 | organism=Plasmodium_vivax_Sal-1 | gene_product=ran binding protein 1, putative | transcript_product=ran binding protein 1, putative | location=Pv_Sal1_chr05:1084650-1085894(+) | protein_length=290 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089292.1-p1      -            130 579at5820            -           1498       1.1    5.0  12.8   1   1    0.0013       1.2    4.9  12.8    20   114    14   105     2   116 0.52 | transcript=PVX_089292.1 | gene=PVX_089292 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr05:435723-436707(-) | protein_length=130 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 579at5820            -           1498       1.6    4.5  18.0   1   1    0.0023       2.1    4.1  18.0   768   917   253   408   225   420 0.62 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/579at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/579at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/579at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:23 2026
# [ok]
