#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098675.1-p1      -           1593 1668at5820           -            781         0 1188.6 224.4   1   6   1.4e-08   2.6e-05   21.1   3.3     1    78     1    82     1   139 0.73 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098675.1-p1      -           1593 1668at5820           -            781         0 1188.6 224.4   2   6   1.2e-85   2.3e-82  275.9  19.4    65   220   413   585   396   592 0.89 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098675.1-p1      -           1593 1668at5820           -            781         0 1188.6 224.4   3   6   1.8e-11   3.4e-08   30.6  32.4   216   409   635   840   630   841 0.64 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098675.1-p1      -           1593 1668at5820           -            781         0 1188.6 224.4   4   6         3   5.5e+03  -18.8  66.5   265   312   829   876   814   911 0.42 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098675.1-p1      -           1593 1668at5820           -            781         0 1188.6 224.4   5   6   9.7e-22   1.8e-18   64.6  26.1   278   376   938  1039   885  1074 0.61 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098675.1-p1      -           1593 1668at5820           -            781         0 1188.6 224.4   6   6  7.7e-251  1.4e-247  822.3  69.4   262   781  1047  1591  1033  1591 0.84 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1668at5820           -            781   2.3e-08   31.2   2.1   1   6      0.79   1.5e+03   -4.5   0.7    73   147    13    88    11    91 0.70 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1668at5820           -            781   2.3e-08   31.2   2.1   2   6     2e-05     0.037   10.6   0.0   377   454   279   356   244   374 0.77 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1668at5820           -            781   2.3e-08   31.2   2.1   3   6   4.3e-05     0.078    9.6   0.5   541   629   413   516   357   523 0.63 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1668at5820           -            781   2.3e-08   31.2   2.1   4   6       0.1   1.9e+02   -1.6   3.4   228   257   618   649   554   716 0.57 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1668at5820           -            781   2.3e-08   31.2   2.1   5   6       1.2   2.2e+03   -5.2   1.9   289   332   796   839   738   901 0.57 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
