#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   1  21   0.00018      0.98    3.9   0.1     1    23     1    23     1    30 0.83 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   2  21   0.00048       2.7    2.4   0.0    21    40    69    88    62    92 0.90 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   3  21  1.4e-117  7.8e-114  379.2   9.6    41   249   170   383   167   385 0.99 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   4  21   3.4e-34   1.9e-30  102.5   2.3   244   307   435   498   426   500 0.93 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   5  21   6.2e-36   3.4e-32  108.3   0.3   302   379   610   687   598   693 0.94 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   6  21  6.8e-210  3.8e-206  685.5  26.5   377   797   733  1184   729  1186 0.96 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   7  21  7.9e-157  4.4e-153  509.5  21.0   796  1127  1261  1608  1254  1611 0.95 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   8  21  4.9e-155  2.7e-151  503.5   2.2  1128  1522  1637  2116  1631  2119 0.86 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   9  21   5.2e-50   2.9e-46  155.0   2.9  1522  1633  2203  2318  2199  2325 0.95 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  10  21  4.3e-200  2.4e-196  653.0  23.0  1640  2109  2415  2954  2398  2956 0.88 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  11  21   1.9e-42   1.1e-38  129.9   0.7  2109  2209  2988  3095  2969  3103 0.90 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
