#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   1  10   1.2e-78   9.6e-76  253.8   8.0     6   176    24   203    14   207 0.90 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   2  10   1.7e-07   0.00014   18.1   0.2   176   207   403   434   397   452 0.83 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   3  10   8.3e-32   6.6e-29   98.7   4.4   196   267   469   543   438   551 0.90 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   4  10     1e-49   8.1e-47  158.0  10.6   266   386   582   724   578   727 0.89 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   5  10   2.1e-63   1.7e-60  203.3  13.2   384   505   925  1051   921  1064 0.92 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   6  10   2.4e-48   1.9e-45  153.5   0.1   502   607  1144  1257  1133  1260 0.93 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   7  10   5.5e-24   4.3e-21   72.8   0.0   607   656  1510  1559  1506  1565 0.94 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   8  10   3.5e-13   2.7e-10   37.0   0.0   657   721  1586  1654  1582  1662 0.87 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3   9  10   1.9e-30   1.5e-27   94.2   0.1   705   782  1740  1822  1734  1825 0.90 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085120.1-p1      -           2270 575at5820            -           1131         0 1637.0  92.3  10  10  4.5e-176  3.6e-173  576.4  11.1   783  1131  1902  2270  1892  2270 0.94 | transcript=PVX_085120.1 | gene=PVX_085120 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr13:916372-923954(-) | protein_length=2270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 575at5820            -           1131   4.3e-12   43.0  33.2   1   4     5e-14     4e-11   39.8  14.3   338   482   515   674   475   677 0.81 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
