#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091610.1-p1      -            478 6501at5820           -            376  6.3e-218  721.4  24.9   1   2   1.2e-73   1.3e-70  236.6   2.5     1   129     1   140     1   145 0.95 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 6501at5820           -            376  6.3e-218  721.4  24.9   2   2  7.9e-151  8.7e-148  490.6  14.6   126   376   198   476   178   476 0.93 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 6501at5820           -            376   1.5e-49  167.3  24.2   1   2     3e-35   3.3e-32  110.2  13.6     3   203     4   229     2   231 0.78 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 6501at5820           -            376   1.5e-49  167.3  24.2   2   2   1.2e-20   1.3e-17   62.2   2.8   196   375   253   455   245   456 0.77 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6501at5820           -            376   1.7e-26   91.4  65.5   1   5   2.3e-08   2.6e-05   21.7  30.4     3   217     2   239     1   251 0.66 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6501at5820           -            376   1.7e-26   91.4  65.5   2   5   5.7e-09   6.3e-06   23.7   8.2   138   200   248   310   209   322 0.73 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6501at5820           -            376   1.7e-26   91.4  65.5   3   5   7.3e-13   8.1e-10   36.5   0.2   200   253   355   408   348   419 0.92 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6501at5820           -            376   1.7e-26   91.4  65.5   4   5    0.0069       7.6    3.7   3.8   256   357   448   558   414   564 0.68 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123590.1-p1      -            611 6501at5820           -            376   1.7e-26   91.4  65.5   5   5   1.9e-08   2.1e-05   22.0   4.8   291   376   528   611   523   611 0.80 | transcript=PVX_123590.1 | gene=PVX_123590 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=Pv_Sal1_chr14:1545594-1547429(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118455.1-p1      -            763 6501at5820           -            376   5.7e-09   33.7  10.4   1   3   2.7e-05     0.029   11.6   0.5    50   109    73   134    56   170 0.82 | transcript=PVX_118455.1 | gene=PVX_118455 | organism=Plasmodium_vivax_Sal-1 | gene_product=clathrin coat assembly protein AP50, putative | transcript_product=clathrin coat assembly protein AP50, putative | location=Pv_Sal1_chr12:2725349-2727640(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118455.1-p1      -            763 6501at5820           -            376   5.7e-09   33.7  10.4   2   3   1.6e-10   1.7e-07   28.9   0.2   125   207   198   285   184   300 0.81 | transcript=PVX_118455.1 | gene=PVX_118455 | organism=Plasmodium_vivax_Sal-1 | gene_product=clathrin coat assembly protein AP50, putative | transcript_product=clathrin coat assembly protein AP50, putative | location=Pv_Sal1_chr12:2725349-2727640(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
