#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096225.1-p1      -            644 6276at5820           -            493  1.1e-267  886.5   2.2   1   2  5.8e-264    4e-261  864.9   0.0     2   458    10   515     9   531 0.96 | transcript=PVX_096225.1 | gene=PVX_096225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:680616-682550(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096225.1-p1      -            644 6276at5820           -            493  1.1e-267  886.5   2.2   2   2   3.3e-07   0.00023   18.1   3.9   457   493   599   635   588   635 0.86 | transcript=PVX_096225.1 | gene=PVX_096225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:680616-682550(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 6276at5820           -            493   4.4e-07   27.0   5.4   1   1   8.9e-10   6.1e-07   26.6   4.6   235   331   199   300   185   309 0.82 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 6276at5820           -            493   1.8e-05   21.7   0.2   1   1   4.1e-08   2.9e-05   21.1   0.2   241   340   133   234   118   238 0.90 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 6276at5820           -            493     3e-05   21.0   5.4   1   3    0.0036       2.5    4.7   0.5   267   327   272   338   230   344 0.73 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 6276at5820           -            493     3e-05   21.0   5.4   2   3   3.4e-06    0.0023   14.7   0.0   287   327   380   422   353   434 0.82 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 6276at5820           -            493     3e-05   21.0   5.4   3   3     0.026        18    1.9   0.1   296   317   476   497   440   498 0.78 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6276at5820           -            493   0.00051   16.9   6.0   1   2   8.8e-05     0.061   10.1   1.2   273   325   103   156    77   163 0.58 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6276at5820           -            493   0.00051   16.9   6.0   2   2   0.00029       0.2    8.4   0.2   285   391   196   313   166   321 0.70 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 6276at5820           -            493    0.0061   13.4   0.1   1   3       4.1   2.8e+03   -5.3   3.9    51    86    18    55    14   101 0.48 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 6276at5820           -            493    0.0061   13.4   0.1   2   3   8.8e-06    0.0061   13.4   0.1   293   332   288   327   278   332 0.88 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 6276at5820           -            493    0.0061   13.4   0.1   3   3    0.0027       1.8    5.2   0.1   292   321   327   359   324   368 0.76 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 6276at5820           -            493    0.0082   12.9   0.1   1   1   1.8e-05     0.012   12.4   0.1   266   319   344   401   326   410 0.82 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 6276at5820           -            493     0.067    9.9  13.6   1   3      0.16   1.1e+02   -0.7   0.0   283   307   374   398   368   407 0.85 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 6276at5820           -            493     0.067    9.9  13.6   2   3    0.0008      0.56    6.9   2.1   274   331   397   465   379   469 0.69 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123965.1-p1      -            643 6276at5820           -            493     0.067    9.9  13.6   3   3   0.00034      0.23    8.2   5.5   282   392   456   568   455   575 0.83 | transcript=PVX_123965.1 | gene=PVX_123965 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr14:1932493-1934424(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6276at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6276at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6276at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:46 2026
# [ok]
