#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002740.1-p1      -           1618 1547at5820           -           1023         0 1685.7  61.1   1   5   8.5e-66   3.6e-63  211.9   9.1     1   197   111   367   111   377 0.79 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 1547at5820           -           1023         0 1685.7  61.1   2   5   6.9e-63   2.9e-60  202.3   4.5   216   350   496   630   475   634 0.93 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 1547at5820           -           1023         0 1685.7  61.1   3   5  4.6e-254    2e-251  835.2  16.9   348   749   661  1083   648  1087 0.98 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 1547at5820           -           1023         0 1685.7  61.1   4   5  7.1e-109    3e-106  354.5   0.2   746   926  1114  1295  1100  1300 0.96 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 1547at5820           -           1023         0 1685.7  61.1   5   5     2e-30   8.3e-28   94.9   1.7   925  1020  1411  1512  1406  1516 0.85 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 1547at5820           -           1023  3.2e-152  506.7  35.9   1   2  7.6e-155  3.2e-152  506.7  35.9   349   856   283   792   240   960 0.84 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 1547at5820           -           1023  3.2e-152  506.7  35.9   2   2       5.2   2.2e+03   -5.9   5.0    58   160   912  1016   900  1023 0.52 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 1547at5820           -           1023  2.5e-121  404.5  25.9   1   1  5.8e-124  2.5e-121  404.5  25.9   245   844  1233  1852  1209  1856 0.78 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 1547at5820           -           1023    1e-113  379.3  25.9   1   3       2.6   1.1e+03   -4.9  15.7   208   323    38   154    11   205 0.61 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 1547at5820           -           1023    1e-113  379.3  25.9   2   3   1.7e-79   7.3e-77  257.3  14.1   375   672   544   842   516   847 0.89 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 1547at5820           -           1023    1e-113  379.3  25.9   3   3     2e-43   8.5e-41  137.9   3.9   673   841  1388  1555  1352  1559 0.92 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
