#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090890.1-p1      -           1399 1490at5820           -            978         0 1949.4  90.3   1   6     0.023        10    2.0   0.1     1    16     1    16     1    23 0.86 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 1490at5820           -            978         0 1949.4  90.3   2   6         0         0 1406.6  29.3     9   632   234   863   227   874 0.98 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 1490at5820           -            978         0 1949.4  90.3   3   6   1.3e-55   5.6e-53  178.2  17.0   630   753   906  1042   902  1044 0.89 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 1490at5820           -            978         0 1949.4  90.3   4   6   1.6e-11   6.7e-09   32.3   3.5   749   785  1091  1127  1078  1146 0.84 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 1490at5820           -            978         0 1949.4  90.3   5   6   1.4e-70   5.8e-68  227.8   4.7   784   913  1162  1294  1143  1298 0.95 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 1490at5820           -            978         0 1949.4  90.3   6   6   1.5e-40   6.2e-38  128.4   0.9   910   978  1314  1382  1307  1382 0.97 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 1490at5820           -            978  9.9e-130  432.3  11.3   1   2    4e-103  1.7e-100  335.5   8.1    57   454   667  1082   654  1086 0.88 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 1490at5820           -            978  9.9e-130  432.3  11.3   2   2   5.2e-31   2.2e-28   96.8   0.0   437   560  1095  1223  1093  1236 0.87 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 1490at5820           -            978  2.9e-116  387.7  13.3   1   1  1.9e-118  8.1e-116  386.2  13.3    81   582  1371  1898  1366  1950 0.85 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 1490at5820           -            978    2e-109  365.1  21.3   1   2   1.1e-70   4.6e-68  228.2  13.6    59   373   525   841   514   851 0.89 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089365.1-p1      -           1795 1490at5820           -            978    2e-109  365.1  21.3   2   2   1.4e-47   6.1e-45  151.6   0.8   388   548  1397  1557  1376  1560 0.95 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
