#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086268.1-p1      -           1263 2335at5820           -            732  1.9e-293  973.7  75.2   1   7   8.1e-35   2.3e-31  107.2   3.7    13   114   109   235   102   307 0.74 | transcript=PVX_086268.1 | gene=PVX_086268 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1958926-1962717(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086268.1-p1      -           1263 2335at5820           -            732  1.9e-293  973.7  75.2   2   7   1.6e-10   4.5e-07   26.9   0.4   108   142   309   343   304   354 0.88 | transcript=PVX_086268.1 | gene=PVX_086268 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1958926-1962717(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086268.1-p1      -           1263 2335at5820           -            732  1.9e-293  973.7  75.2   3   7   1.1e-45   2.9e-42  143.2   2.1   150   237   509   596   495   608 0.92 | transcript=PVX_086268.1 | gene=PVX_086268 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1958926-1962717(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086268.1-p1      -           1263 2335at5820           -            732  1.9e-293  973.7  75.2   4   7   1.7e-24   4.8e-21   73.1   0.1   234   297   627   697   621   700 0.89 | transcript=PVX_086268.1 | gene=PVX_086268 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1958926-1962717(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086268.1-p1      -           1263 2335at5820           -            732  1.9e-293  973.7  75.2   5   7  3.5e-158  9.8e-155  515.1  20.7   295   622   726  1069   718  1073 0.94 | transcript=PVX_086268.1 | gene=PVX_086268 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1958926-1962717(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086268.1-p1      -           1263 2335at5820           -            732  1.9e-293  973.7  75.2   6   7   1.3e-09   3.5e-06   24.0   1.5   622   650  1100  1128  1093  1134 0.89 | transcript=PVX_086268.1 | gene=PVX_086268 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1958926-1962717(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086268.1-p1      -           1263 2335at5820           -            732  1.9e-293  973.7  75.2   7   7   8.5e-37   2.3e-33  113.8   6.3   651   728  1171  1248  1163  1253 0.93 | transcript=PVX_086268.1 | gene=PVX_086268 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1958926-1962717(+) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097592.1-p1      -            780 2335at5820           -            732     5e-08   30.1  23.4   1   4       0.2   5.4e+02   -3.1   0.4    92   128   105   141    88   178 0.68 | transcript=PVX_097592.1 | gene=PVX_097592 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr10:1314570-1316912(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097592.1-p1      -            780 2335at5820           -            732     5e-08   30.1  23.4   2   4      0.12   3.2e+02   -2.4   0.3   239   268   190   219   185   229 0.82 | transcript=PVX_097592.1 | gene=PVX_097592 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr10:1314570-1316912(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097592.1-p1      -            780 2335at5820           -            732     5e-08   30.1  23.4   3   4   0.00055       1.5    5.3   3.2   445   497   436   487   416   498 0.79 | transcript=PVX_097592.1 | gene=PVX_097592 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr10:1314570-1316912(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097592.1-p1      -            780 2335at5820           -            732     5e-08   30.1  23.4   4   4   1.8e-11     5e-08   30.1  23.4   441   604   500   662   490   775 0.80 | transcript=PVX_097592.1 | gene=PVX_097592 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr10:1314570-1316912(+) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2335at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2335at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2335at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:14 2026
# [ok]
