#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116870.1-p1      -           1583 1518at5820           -           1119         0 1806.1 101.0   1   7  1.1e-101     2e-98  329.0  35.7     1   200    23   242    23   251 0.90 | transcript=PVX_116870.1 | gene=PVX_116870 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr12:1348266-1353131(-) | protein_length=1583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116870.1-p1      -           1583 1518at5820           -           1119         0 1806.1 101.0   2   7   5.2e-26   9.6e-23   78.4   1.3   196   280   297   396   262   408 0.86 | transcript=PVX_116870.1 | gene=PVX_116870 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr12:1348266-1353131(-) | protein_length=1583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116870.1-p1      -           1583 1518at5820           -           1119         0 1806.1 101.0   3   7   1.2e-61   2.2e-58  196.4   3.1   281   412   472   617   468   621 0.90 | transcript=PVX_116870.1 | gene=PVX_116870 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr12:1348266-1353131(-) | protein_length=1583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116870.1-p1      -           1583 1518at5820           -           1119         0 1806.1 101.0   4   7   4.9e-50   9.1e-47  157.9   2.9   408   509   668   775   664   793 0.87 | transcript=PVX_116870.1 | gene=PVX_116870 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr12:1348266-1353131(-) | protein_length=1583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116870.1-p1      -           1583 1518at5820           -           1119         0 1806.1 101.0   5   7   4.3e-67   7.9e-64  214.4   0.6   511   643   820   967   808  1005 0.82 | transcript=PVX_116870.1 | gene=PVX_116870 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr12:1348266-1353131(-) | protein_length=1583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116870.1-p1      -           1583 1518at5820           -           1119         0 1806.1 101.0   6   7  1.2e-213  2.2e-210  699.7  12.3   656   974  1056  1374  1031  1386 0.93 | transcript=PVX_116870.1 | gene=PVX_116870 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr12:1348266-1353131(-) | protein_length=1583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116870.1-p1      -           1583 1518at5820           -           1119         0 1806.1 101.0   7   7     2e-51   3.6e-48  162.6   0.9   972  1119  1401  1576  1396  1576 0.90 | transcript=PVX_116870.1 | gene=PVX_116870 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr12:1348266-1353131(-) | protein_length=1583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097890.1-p1      -            443 1518at5820           -           1119   3.3e-06   23.6   0.7   1   2     8e-09   1.5e-05   21.5   0.5   754   801   263   309   255   318 0.85 | transcript=PVX_097890.1 | gene=PVX_097890 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr10:1066414-1067879(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097890.1-p1      -            443 1518at5820           -           1119   3.3e-06   23.6   0.7   2   2      0.05        92   -1.1   0.0   926   944   398   416   347   422 0.83 | transcript=PVX_097890.1 | gene=PVX_097890 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr10:1066414-1067879(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099700.1-p1      -            448 1518at5820           -           1119   0.00011   18.5  11.1   1   3      0.65   1.2e+03   -4.8   1.1  1004  1036    45    77    40    91 0.70 | transcript=PVX_099700.1 | gene=PVX_099700 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=Pv_Sal1_chr07:972758-974104(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099700.1-p1      -            448 1518at5820           -           1119   0.00011   18.5  11.1   2   3   4.9e-07   0.00091   15.5   0.3   752   795   143   183   137   188 0.82 | transcript=PVX_099700.1 | gene=PVX_099700 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=Pv_Sal1_chr07:972758-974104(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099700.1-p1      -            448 1518at5820           -           1119   0.00011   18.5  11.1   3   3   1.1e-05      0.02   11.0   0.2   828   897   191   263   186   274 0.82 | transcript=PVX_099700.1 | gene=PVX_099700 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=Pv_Sal1_chr07:972758-974104(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1518at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1518at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1518at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:17 2026
# [ok]
