#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116945.1-p1      -            803 3052at5820           -            646         0 1177.0  90.0   1   2   5.5e-76   7.6e-73  244.5  36.6     5   225    28   323    25   340 0.84 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 3052at5820           -            646         0 1177.0  90.0   2   2  6.7e-285  9.3e-282  934.7  45.4   222   646   345   784   339   784 0.97 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3052at5820           -            646   2.7e-43  146.9  19.3   1   4         4   5.5e+03  -10.9   7.3   113   126   301   314   252   346 0.47 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3052at5820           -            646   2.7e-43  146.9  19.3   2   4         4   5.5e+03   -7.8  10.1   104   172   398   465   378   469 0.66 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3052at5820           -            646   2.7e-43  146.9  19.3   3   4     2e-46   2.7e-43  146.9  19.3   243   499   657   912   592   920 0.87 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3052at5820           -            646   2.7e-43  146.9  19.3   4   4    0.0025       3.5    4.4   0.2   542   604   921   982   914  1000 0.82 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3052at5820           -            646   1.7e-38  131.0  25.9   1   4      0.71   9.8e+02   -3.6   0.7   588   620   241   271   226   289 0.57 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3052at5820           -            646   1.7e-38  131.0  25.9   2   4         4   5.5e+03   -8.5   8.9   142   167   487   512   437   530 0.62 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3052at5820           -            646   1.7e-38  131.0  25.9   3   4   1.3e-41   1.7e-38  131.0  25.9   193   503   757  1057   716  1062 0.83 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3052at5820           -            646   1.7e-38  131.0  25.9   4   4   0.00028      0.39    7.6   2.0   552   625  1073  1148  1065  1160 0.77 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3052at5820           -            646   1.9e-29  101.1  15.3   1   4         4   5.5e+03  -12.9  15.2    62   121    68   122    27   198 0.42 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
