#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079775.1-p1      -            927 3266at5820           -            679         0 1129.5  73.8   1   3  6.2e-231  1.1e-227  755.9  50.1     6   439    26   496    19   555 0.86 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 3266at5820           -            679         0 1129.5  73.8   2   3   6.2e-54   1.1e-50  170.9   2.0   473   573   690   790   677   796 0.94 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 3266at5820           -            679         0 1129.5  73.8   3   3   4.8e-65   8.9e-62  207.7   6.2   562   679   810   927   806   927 0.98 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3266at5820           -            679   3.2e-14   50.5  49.0   1   3   4.5e-07   0.00083   16.1   2.1   318   422    80   185    73   192 0.89 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3266at5820           -            679   3.2e-14   50.5  49.0   2   3   4.6e-10   8.4e-07   26.0  21.9   122   330   190   403   185   408 0.82 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3266at5820           -            679   3.2e-14   50.5  49.0   3   3     7e-09   1.3e-05   22.1  20.2   228   404   336   515   336   524 0.85 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3266at5820           -            679   2.6e-09   34.3  19.9   1   3   8.2e-05      0.15    8.6   0.3   200   282   105   193    84   198 0.79 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3266at5820           -            679   2.6e-09   34.3  19.9   2   3   8.9e-09   1.6e-05   21.7   1.1   199   291   147   236   136   244 0.80 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3266at5820           -            679   2.6e-09   34.3  19.9   3   3   2.9e-08   5.3e-05   20.0   4.8   264   420   246   400   240   413 0.48 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3266at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:14 2026
# [ok]
