#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099915.1-p1      -            287 12230at5820          -            218  1.6e-116  385.8  32.5   1   3   1.7e-61   8.5e-59  197.1  19.8     1   131     1   137     1   146 0.91 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 12230at5820          -            218  1.6e-116  385.8  32.5   2   3     0.093        47    1.8   1.7   117   132   149   167   139   171 0.78 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 12230at5820          -            218  1.6e-116  385.8  32.5   3   3     1e-60   5.1e-58  194.6   0.2   124   218   193   287   184   287 0.95 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089755.1-p1      -            480 12230at5820          -            218     2e-11   42.2   0.1   1   2       2.3   1.2e+03   -2.7   1.1   122   137   194   209   173   248 0.73 | transcript=PVX_089755.1 | gene=PVX_089755 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:806049-808388(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089755.1-p1      -            480 12230at5820          -            218     2e-11   42.2   0.1   2   2     4e-14     2e-11   42.2   0.1   134   215   399   479   359   480 0.80 | transcript=PVX_089755.1 | gene=PVX_089755 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:806049-808388(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 12230at5820          -            218   5.8e-08   30.9   1.9   1   2     4e-09     2e-06   25.9   0.3   141   208     8    75     2    84 0.90 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 12230at5820          -            218   5.8e-08   30.9   1.9   2   2     0.013       6.8    4.6   0.0    40    95   120   175    93   185 0.80 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 12230at5820          -            218   5.5e-07   27.7  16.0   1   3   1.3e-09   6.3e-07   27.6   6.3    40   215    18   193     4   196 0.77 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 12230at5820          -            218   5.5e-07   27.7  16.0   2   3     0.002         1    7.2   0.0   140   203   208   271   196   284 0.83 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 12230at5820          -            218   5.5e-07   27.7  16.0   3   3       6.7   3.4e+03   -4.3   0.7    60    85   359   385   344   388 0.58 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 12230at5820          -            218   4.4e-05   21.5   0.0   1   2    0.0012       0.6    8.0   0.0   141   213    21    93     4    97 0.85 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
