#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099825.1-p1      -            307 9003at5820           -            272  1.7e-164  544.1   8.6   1   1  9.5e-167  5.2e-164  542.5   8.6     1   272    12   307    12   307 0.94 | transcript=PVX_099825.1 | gene=PVX_099825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=Pv_Sal1_chr07:1067165-1068088(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119815.1-p1      -            308 9003at5820           -            272  3.1e-112  372.7   0.7   1   1  7.6e-115  4.2e-112  372.3   0.7     6   254    19   282    15   297 0.92 | transcript=PVX_119815.1 | gene=PVX_119815 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=Pv_Sal1_chr08:1182495-1183421(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099685.1-p1      -            507 9003at5820           -            272   5.7e-97  322.7   1.0   1   1   1.5e-99     8e-97  322.2   1.0     2   257   209   485   208   494 0.90 | transcript=PVX_099685.1 | gene=PVX_099685 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=Pv_Sal1_chr07:964361-966052(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085730.1-p1      -            304 9003at5820           -            272   7.5e-81  269.8   0.5   1   1   1.7e-83   9.6e-81  269.5   0.5     8   265    28   300    23   303 0.91 | transcript=PVX_085730.1 | gene=PVX_085730 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=Pv_Sal1_chr13:1469870-1472025(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093605.1-p1      -            564 9003at5820           -            272   2.9e-56  189.1   0.4   1   1   8.5e-59   4.7e-56  188.5   0.4    26   262    72   336    47   345 0.82 | transcript=PVX_093605.1 | gene=PVX_093605 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=Pv_Sal1_chr01:672200-674439(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 9003at5820           -            272   4.6e-48  162.3   0.1   1   1   1.3e-50   7.4e-48  161.6   0.1    11   268   409   678   399   681 0.84 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 9003at5820           -            272   4.8e-48  162.2   0.6   1   1   1.4e-49   7.8e-47  158.2   0.6    13   249   542   827   535   837 0.77 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 9003at5820           -            272   2.2e-37  127.2   2.2   1   1   1.2e-39   6.5e-37  125.7   2.2    14   259   217   488   207   498 0.75 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 9003at5820           -            272   7.3e-31  105.9   2.5   1   2   2.7e-05     0.015   13.0   0.0    11    54  1132  1177  1124  1188 0.86 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 9003at5820           -            272   7.3e-31  105.9   2.5   2   2   2.9e-26   1.6e-23   81.8   0.9    58   246  1252  1499  1243  1518 0.71 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117005.1-p1      -            381 9003at5820           -            272   0.00021   19.1   0.6   1   1   6.6e-07   0.00036   18.3   0.6    26   113    65   164    48   204 0.76 | transcript=PVX_117005.1 | gene=PVX_117005 | organism=Plasmodium_vivax_Sal-1 | gene_product=shewanella-like protein phosphatase 1, putative | transcript_product=shewanella-like protein phosphatase 1, putative | location=Pv_Sal1_chr12:1458781-1459926(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
