#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113525.1-p1      -            403 10508at5820          -            310    2e-152  505.4  17.3   1   2  7.7e-117  3.5e-114  379.7   5.5     2   234    13   251    12   285 0.91 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 10508at5820          -            310    2e-152  505.4  17.3   2   2   2.9e-41   1.4e-38  131.5   3.9   245   310   338   403   329   403 0.97 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086150.1-p1      -            739 10508at5820          -            310   1.3e-17   62.6  43.4   1   2    0.0082       3.8    5.2  30.9    96   186   319   401   240   412 0.65 | transcript=PVX_086150.1 | gene=PVX_086150 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite protein, putative | transcript_product=circumsporozoite protein, putative | location=Pv_Sal1_chr13:1877708-1879927(+) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086150.1-p1      -            739 10508at5820          -            310   1.3e-17   62.6  43.4   2   2   4.7e-20   2.2e-17   61.8   3.9   208   299   644   736   624   739 0.85 | transcript=PVX_086150.1 | gene=PVX_086150 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite protein, putative | transcript_product=circumsporozoite protein, putative | location=Pv_Sal1_chr13:1877708-1879927(+) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 10508at5820          -            310   2.2e-12   45.4   3.2   1   2         2     9e+02   -2.6   1.1   196   255   295   355   270   365 0.67 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 10508at5820          -            310   2.2e-12   45.4   3.2   2   2   4.7e-15   2.2e-12   45.4   3.2   243   301  1146  1202  1115  1203 0.79 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 10508at5820          -            310   2.6e-09   35.3   2.3   1   1   5.6e-12   2.6e-09   35.3   2.3   249   300   232   281   203   283 0.90 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 10508at5820          -            310   4.5e-09   34.5   1.0   1   1     2e-11   9.2e-09   33.5   1.0   205   298   317   416   303   420 0.77 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085355.1-p1      -            520 10508at5820          -            310   8.2e-06   23.8   5.1   1   1   1.8e-08   8.2e-06   23.8   5.1   270   300   313   341   256   353 0.69 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 10508at5820          -            310   8.9e-06   23.7   1.0   1   1   1.9e-08   8.9e-06   23.7   1.0   244   300   209   264   193   268 0.83 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 10508at5820          -            310   0.00023   19.0   2.8   1   2      0.34   1.6e+02   -0.1   5.1    54   114   432   498   417   518 0.65 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 10508at5820          -            310   0.00023   19.0   2.8   2   2     5e-07   0.00023   19.0   2.8   253   298   684   728   667   732 0.87 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 10508at5820          -            310    0.0035   15.2   1.4   1   2      0.14        63    1.2   0.7   285   307    70    93    56    96 0.76 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 10508at5820          -            310    0.0035   15.2   1.4   2   2   7.5e-06    0.0035   15.2   1.4   262   296   108   142   103   145 0.82 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083110.1-p1      -           1787 10508at5820          -            310     0.017   12.9   1.9   1   1    0.0001     0.046   11.5   1.9   252   287   154   192   137   196 0.86 | transcript=PVX_083110.1 | gene=PVX_083110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:395827-401993(+) | protein_length=1787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 10508at5820          -            310       1.4    6.6  13.5   1   2       0.2        92    0.6   1.3   277   301     9    35     1    46 0.68 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 10508at5820          -            310       1.4    6.6  13.5   2   2    0.0048       2.2    5.9  11.7   274   298    55    80    21    84 0.71 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 10508at5820          -            310       8.1    4.1  15.8   1   1   1.5e-05    0.0067   14.2   4.5   221   299   332   405   268   410 0.67 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
