#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082395.1-p1      -           1946 558at5820            -           1598         0 3215.8  78.8   1   6  1.4e-274  2.6e-271  901.7  13.1     3   427    29   466    27   472 0.96 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 558at5820            -           1598         0 3215.8  78.8   2   6         0         0 1188.6  12.9   427   940   490  1003   486  1005 1.00 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 558at5820            -           1598         0 3215.8  78.8   3   6    0.0024       4.4    2.7   0.0   951   970  1068  1087  1039  1092 0.71 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 558at5820            -           1598         0 3215.8  78.8   4   6     2e-23   3.7e-20   69.2   0.8   968  1036  1139  1215  1127  1219 0.87 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 558at5820            -           1598         0 3215.8  78.8   5   6  1.5e-213  2.8e-210  699.4  14.5  1039  1394  1285  1647  1268  1652 0.96 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 558at5820            -           1598         0 3215.8  78.8   6   6  6.3e-116  1.2e-112  375.8   7.0  1391  1598  1720  1944  1702  1944 0.92 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 558at5820            -           1598  1.6e-233  776.4  32.6   1   5   8.1e-22   1.5e-18   63.9   6.1    30   146    16   132     9   194 0.83 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 558at5820            -           1598  1.6e-233  776.4  32.6   2   5   3.7e-93   6.7e-90  300.4   0.0   238   604   267   619   234   626 0.92 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 558at5820            -           1598  1.6e-233  776.4  32.6   3   5   1.6e-77     3e-74  248.5   3.0   620   914   715  1008   704  1023 0.95 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 558at5820            -           1598  1.6e-233  776.4  32.6   4   5   3.4e-28   6.2e-25   85.0   0.1  1186  1289  1326  1432  1267  1485 0.86 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 558at5820            -           1598  1.6e-233  776.4  32.6   5   5   2.7e-30     5e-27   92.0   2.8  1395  1585  1777  1966  1758  1979 0.88 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
