#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   1   9     1e-48   5.6e-45  152.2   4.9     4   108    46   153    42   160 0.91 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   2   9   2.8e-21   1.5e-17   61.7   0.5   121   183   233   303   214   313 0.88 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   3   9     6e-23   3.3e-19   67.2   0.0   180   237   326   385   318   393 0.89 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   4   9    0.0051        28    1.4   0.3   234   255   404   425   400   446 0.78 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   5   9   3.5e-05      0.19    8.5   3.7   247   274   452   482   422   486 0.67 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   6   9   3.4e-10   1.9e-06   25.1   0.7   274   327   504   560   493   592 0.70 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   7   9   6.1e-09   3.4e-05   20.9   0.1   308   350   600   642   595   657 0.81 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   8   9   6.3e-22   3.5e-18   63.8  12.7   333   430   784   890   717   906 0.79 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085765.1-p1      -           1280 2674at5820           -            536  2.4e-165  549.5  64.6   9   9   4.9e-56   2.7e-52  176.4   0.1   433   536  1112  1218  1103  1218 0.96 | transcript=PVX_085765.1 | gene=PVX_085765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1503651-1509462(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2674at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2674at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2674at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:14 2026
# [ok]
