#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   1  23   3.5e-26   9.7e-23   77.3  21.2    26   175   264   474   237   490 0.68 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   2  23   1.2e-80   3.4e-77  258.0  11.3   171   361   622   811   615   830 0.88 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   3  23  2.8e-118  7.8e-115  382.9  37.2   318   564   956  1221   940  1248 0.82 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   4  23     2e-99   5.6e-96  320.3  37.4   566   772  1299  1510  1282  1534 0.85 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   5  23  2.3e-240  6.5e-237  787.9  89.3   726  1099  1545  1922  1532  1936 0.92 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   6  23   1.4e-40   3.8e-37  125.1   4.7  1092  1185  2116  2215  2108  2219 0.92 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   7  23   1.7e-25   4.7e-22   75.0   0.8  1186  1245  2277  2336  2274  2359 0.87 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   8  23   7.7e-67   2.1e-63  212.2  11.5  1255  1395  2422  2571  2419  2577 0.94 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5   9  23   1.8e-20     5e-17   58.3   5.0  1379  1467  2709  2812  2681  2835 0.71 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  10  23   3.1e-33   8.5e-30  100.7  13.5  1407  1624  2912  3154  2872  3215 0.74 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  11  23         2   5.5e+03  -12.8  11.6  1592  1682  3440  3529  3434  3543 0.63 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  12  23     0.052   1.4e+02   -2.9  11.8  1630  1720  3708  3793  3670  3841 0.64 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  13  23    0.0012       3.4    2.5   8.0  1698  1747  3861  3909  3777  3916 0.68 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  14  23         2   5.5e+03  -17.9  34.1  1608  1843  4013  4250  3991  4267 0.50 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  15  23         2   5.5e+03  -28.5  49.6  1729  1844  4259  4365  4240  4377 0.25 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  16  23         2   5.5e+03  -21.3  38.0  1716  1847  4329  4460  4321  4476 0.52 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  17  23   3.5e-30   9.6e-27   90.6   0.8  1832  1908  4512  4588  4471  4606 0.81 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  18  23   2.2e-61     6e-58  194.1  13.1  1907  2136  4728  5051  4720  5059 0.74 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  19  23   4.3e-47   1.2e-43  146.7  13.6  2153  2271  5211  5337  5189  5353 0.79 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  20  23   6.6e-94   1.8e-90  302.0  31.1  2254  2432  5435  5621  5421  5626 0.87 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  21  23   1.9e-74   5.2e-71  237.4  22.2  2430  2608  5732  5934  5724  5959 0.86 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  22  23   1.1e-08   3.1e-05   19.2   4.8  2599  2663  5983  6068  5959  6085 0.74 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114585.1-p1      -           6587 54at5820             -           3125         0 4185.0 655.5  23  23  1.4e-298  3.9e-295  981.1  47.6  2659  3125  6105  6587  6096  6587 0.97 | transcript=PVX_114585.1 | gene=PVX_114585 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain containing protein | transcript_product=SET domain containing protein | location=Pv_Sal1_chr11:795907-816553(-) | protein_length=6587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099210.1-p1      -            263 54at5820             -           3125       9.7    1.0  17.2   1   1    0.0046        13    0.6  17.2  1760  1866    10   113     2   126 0.66 | transcript=PVX_099210.1 | gene=PVX_099210 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:590522-591313(+) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/54at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:01 2026
# [ok]
