#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088885.1-p1      -             95 15143at5820          -             91   1.5e-59  196.5   4.2   1   1     3e-62   1.7e-59  196.3   4.2     1    91     1    91     1    91 0.99 | transcript=PVX_088885.1 | gene=PVX_088885 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=Pv_Sal1_chr05:133974-134790(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091835.1-p1      -            149 15143at5820          -             91   8.4e-11   40.2   0.3   1   1   2.1e-13   1.1e-10   39.8   0.3     7    76    14    86    10    96 0.89 | transcript=PVX_091835.1 | gene=PVX_091835 | organism=Plasmodium_vivax_Sal-1 | gene_product=LSM domain containing protein | transcript_product=LSM domain containing protein | location=Pv_Sal1_chr09:886964-887762(-) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089250.1-p1      -             83 15143at5820          -             91     1e-06   27.2   0.4   1   1   2.2e-09   1.2e-06   26.9   0.4     7    69    15    74    11    82 0.88 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089370.1-p1      -             91 15143at5820          -             91   1.4e-06   26.7   0.3   1   1   6.9e-09   3.8e-06   25.3   0.3     9    70    17    87    12    90 0.78 | transcript=PVX_089370.1 | gene=PVX_089370 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=Pv_Sal1_chr05:503744-504583(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083405.1-p1      -             94 15143at5820          -             91   1.6e-05   23.4   0.1   1   1   3.4e-08   1.9e-05   23.1   0.1    20    72    38    88    15    93 0.86 | transcript=PVX_083405.1 | gene=PVX_083405 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=Pv_Sal1_chr12:148064-148815(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118325.1-p1      -            101 15143at5820          -             91   0.00015   20.2   0.2   1   1   3.1e-07   0.00017   20.0   0.2    10    68    20    79    14    99 0.84 | transcript=PVX_118325.1 | gene=PVX_118325 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=Pv_Sal1_chr12:2603522-2604198(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 15143at5820          -             91   0.00018   20.0   0.1   1   1   4.7e-07   0.00026   19.5   0.1     6    71     7    78     3    97 0.72 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084490.1-p1      -            107 15143at5820          -             91   0.00028   19.3   0.1   1   1   6.7e-07   0.00037   19.0   0.1     5    74    19    94    16   105 0.85 | transcript=PVX_084490.1 | gene=PVX_084490 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=Pv_Sal1_chr13:360441-361222(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091960.1-p1      -             86 15143at5820          -             91    0.0014   17.1   0.0   1   1   3.1e-06    0.0017   16.8   0.0     8    71    16    77    12    83 0.77 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002615.1-p1      -            101 15143at5820          -             91    0.0069   14.9   0.2   1   1   1.9e-05      0.01   14.3   0.2    13    69    31    96    22    99 0.72 | transcript=PVX_002615.1 | gene=PVX_002615 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=Pv_Sal1_chr04:141438-141976(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
