#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096355.1-p1      -            855 3221at5820           -            511  1.6e-286  949.4  34.3   1   5  2.2e-109  1.5e-106  355.6   1.6     1   164     1   169     1   173 0.97 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 3221at5820           -            511  1.6e-286  949.4  34.3   2   5     2e-07   0.00014   19.2   0.1   164   190   325   360   318   365 0.78 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 3221at5820           -            511  1.6e-286  949.4  34.3   3   5   3.3e-81   2.3e-78  262.6   4.8   190   338   383   545   376   550 0.93 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 3221at5820           -            511  1.6e-286  949.4  34.3   4   5   2.7e-23   1.8e-20   71.6   0.3   334   390   602   660   594   665 0.89 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 3221at5820           -            511  1.6e-286  949.4  34.3   5   5   8.7e-80     6e-77  257.9   2.8   385   511   726   852   717   852 0.98 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 3221at5820           -            511   1.2e-22   78.8   0.1   1   3   6.8e-06    0.0047   14.2   0.0    11   146     7   142     3   152 0.75 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 3221at5820           -            511   1.2e-22   78.8   0.1   2   3   4.1e-07   0.00028   18.2   0.1   248   330   154   238   146   243 0.75 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085830.1-p1      -            376 3221at5820           -            511   1.2e-22   78.8   0.1   3   3     1e-14   7.2e-12   43.2   0.0   390   510   247   366   240   367 0.94 | transcript=PVX_085830.1 | gene=PVX_085830 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin II | transcript_product=actin II | location=Pv_Sal1_chr13:1547096-1548376(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 3221at5820           -            511   1.2e-22   78.8   0.7   1   3   6.7e-05     0.046   10.9   0.0    12   148    14   149     9   160 0.71 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 3221at5820           -            511   1.2e-22   78.8   0.7   2   3   9.3e-07   0.00064   17.0   0.2   258   326   169   239   152   243 0.75 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081570.1-p1      -            379 3221at5820           -            511   1.2e-22   78.8   0.7   3   3   5.1e-16   3.5e-13   47.6   0.0   394   504   254   363   249   372 0.88 | transcript=PVX_081570.1 | gene=PVX_081570 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein | transcript_product=actin-related protein | location=Pv_Sal1_chr02:445875-448556(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
