#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098925.1-p1      -           1044 4823at5820           -            557  5.1e-294  974.4  57.0   1   6   1.5e-70   4.2e-67  225.3  17.0     1   109     1   109     1   127 0.95 | transcript=PVX_098925.1 | gene=PVX_098925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:362608-365742(+) | protein_length=1044 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098925.1-p1      -           1044 4823at5820           -            557  5.1e-294  974.4  57.0   2   6   3.8e-44     1e-40  138.2   0.1   107   189   150   232   140   239 0.88 | transcript=PVX_098925.1 | gene=PVX_098925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:362608-365742(+) | protein_length=1044 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098925.1-p1      -           1044 4823at5820           -            557  5.1e-294  974.4  57.0   3   6     1e-06    0.0028   14.6   0.2   189   229   272   320   262   339 0.76 | transcript=PVX_098925.1 | gene=PVX_098925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:362608-365742(+) | protein_length=1044 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098925.1-p1      -           1044 4823at5820           -            557  5.1e-294  974.4  57.0   4   6   0.00073         2    5.2   0.0   219   246   364   391   344   407 0.79 | transcript=PVX_098925.1 | gene=PVX_098925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:362608-365742(+) | protein_length=1044 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098925.1-p1      -           1044 4823at5820           -            557  5.1e-294  974.4  57.0   5   6  2.8e-184  7.8e-181  600.7  13.5   248   519   658   929   633   954 0.93 | transcript=PVX_098925.1 | gene=PVX_098925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:362608-365742(+) | protein_length=1044 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098925.1-p1      -           1044 4823at5820           -            557  5.1e-294  974.4  57.0   6   6   0.00016      0.44    7.4   0.4   516   548   961   993   942  1002 0.73 | transcript=PVX_098925.1 | gene=PVX_098925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:362608-365742(+) | protein_length=1044 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083110.1-p1      -           1787 4823at5820           -            557     4e-64  215.5  12.8   1   6     1e-05     0.028   11.3   0.0    18    47     3    32     1    39 0.90 | transcript=PVX_083110.1 | gene=PVX_083110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:395827-401993(+) | protein_length=1787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083110.1-p1      -           1787 4823at5820           -            557     4e-64  215.5  12.8   2   6   6.6e-13   1.8e-09   35.0   0.3   115   163    80   128    64   140 0.87 | transcript=PVX_083110.1 | gene=PVX_083110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:395827-401993(+) | protein_length=1787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083110.1-p1      -           1787 4823at5820           -            557     4e-64  215.5  12.8   3   6   5.1e-60   1.4e-56  190.6   6.8   254   445   146   336   129   429 0.93 | transcript=PVX_083110.1 | gene=PVX_083110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:395827-401993(+) | protein_length=1787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083110.1-p1      -           1787 4823at5820           -            557     4e-64  215.5  12.8   4   6         2   5.5e+03  -10.3   8.6   507   533   591   617   568   645 0.41 | transcript=PVX_083110.1 | gene=PVX_083110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:395827-401993(+) | protein_length=1787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083110.1-p1      -           1787 4823at5820           -            557     4e-64  215.5  12.8   5   6         2   5.5e+03   -8.1   5.2   510   531   676   697   662   712 0.33 | transcript=PVX_083110.1 | gene=PVX_083110 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:395827-401993(+) | protein_length=1787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
