#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095155.1-p1      -            761 4681at5820           -            517    3e-270  895.7  60.1   1   5   1.5e-09   2.3e-07   28.2   1.0     5    31    34    60    30    73 0.83 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4681at5820           -            517    3e-270  895.7  60.1   2   5   1.7e-09   2.6e-07   28.1   3.5    27    57   126   156   118   162 0.84 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4681at5820           -            517    3e-270  895.7  60.1   3   5   1.7e-76   2.5e-74  249.2   6.4    45   187   184   325   167   329 0.93 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4681at5820           -            517    3e-270  895.7  60.1   4   5  4.7e-184  7.1e-182  604.1  22.8   184   504   376   708   371   714 0.97 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4681at5820           -            517    3e-270  895.7  60.1   5   5     0.013       1.9    5.4   0.1   501   517   744   760   720   760 0.81 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118190.1-p1      -            528 4681at5820           -            517   7.6e-61  204.7   0.0   1   1   6.5e-63   9.7e-61  204.4   0.0    58   478    56   493    41   504 0.89 | transcript=PVX_118190.1 | gene=PVX_118190 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX5, putative | transcript_product=ATP-dependent RNA helicase DDX5, putative | location=Pv_Sal1_chr12:2485618-2489052(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 4681at5820           -            517     1e-59  201.0   4.5   1   2   6.8e-62     1e-59  201.0   4.5    55   481   609  1058   574  1077 0.81 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 4681at5820           -            517     1e-59  201.0   4.5   2   2       3.5   5.2e+02   -2.6   1.3   463   494  1312  1343  1255  1355 0.74 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117030.1-p1      -            398 4681at5820           -            517   1.3e-50  171.0   0.8   1   1   1.1e-52   1.7e-50  170.6   0.8   124   455    31   372    26   394 0.90 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111150.1-p1      -           1015 4681at5820           -            517   2.5e-47  160.1   2.0   1   1   2.3e-49   3.4e-47  159.7   2.0   107   478   616  1014   608  1015 0.84 | transcript=PVX_111150.1 | gene=PVX_111150 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:681635-685749(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 4681at5820           -            517   3.9e-44  149.6  10.1   1   1   3.6e-46   5.3e-44  149.1  10.1   123   473   139   498   133   526 0.82 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 4681at5820           -            517   5.5e-43  145.8   0.6   1   2   2.5e-08   3.7e-06   24.3   0.0   139   186   300   347   280   351 0.85 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 4681at5820           -            517   5.5e-43  145.8   0.6   2   2     6e-37     9e-35  118.7   1.2   187   449   403   677   395   713 0.81 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 4681at5820           -            517   8.9e-43  145.1   0.0   1   2       6.3   9.5e+02   -3.5   2.3    28    72    70   117    39   185 0.52 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
