#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119725.1-p1      -            494 6999at5820           -            339  7.2e-223  737.0   3.6   1   1  9.2e-225  9.1e-223  736.7   3.6     1   335   108   446   108   449 0.98 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 6999at5820           -            339     2e-65  219.4  15.3   1   3     2e-15     2e-13   48.4   3.2     4   102    28   123    25   133 0.88 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 6999at5820           -            339     2e-65  219.4  15.3   2   3   2.7e-10   2.6e-08   31.6   0.5    82   180   204   307   195   314 0.65 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 6999at5820           -            339     2e-65  219.4  15.3   3   3   2.2e-45   2.2e-43  146.9   0.2   152   303   572   723   559   730 0.96 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 6999at5820           -            339   1.1e-58  197.2   1.5   1   1   1.5e-60   1.5e-58  196.7   1.5     9   300    18   312     9   326 0.87 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 6999at5820           -            339   1.7e-51  173.5   0.4   1   1   2.5e-53   2.5e-51  173.0   0.4     5   297    24   339    20   341 0.80 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 6999at5820           -            339   2.6e-45  153.3   0.0   1   1   3.4e-47   3.4e-45  152.9   0.0    15   299     8   286     2   288 0.85 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 6999at5820           -            339   5.8e-40  135.6   5.4   1   1   1.3e-41   1.3e-39  134.5   5.4     6   303   262   575   259   582 0.76 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 6999at5820           -            339   7.8e-40  135.2   1.8   1   1   1.1e-41   1.1e-39  134.8   1.8    10   301     8   297     2   302 0.84 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 6999at5820           -            339   1.4e-36  124.5   5.0   1   1   3.7e-38   3.7e-36  123.1   5.0     8   302    40   333    34   335 0.82 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 6999at5820           -            339   1.9e-36  124.0   5.2   1   1   5.4e-38   5.4e-36  122.6   5.2     8   303    40   334    34   339 0.82 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
