#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082880.1-p1      -            897 3113at5820           -            540  4.8e-248  822.4   9.6   1   4   1.4e-05    0.0023   14.9   0.2     1    32     1    32     1    43 0.91 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 3113at5820           -            540  4.8e-248  822.4   9.6   2   4   5.9e-18   9.3e-16   55.7   0.0    54   126   230   330   226   346 0.79 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 3113at5820           -            540  4.8e-248  822.4   9.6   3   4  1.5e-205  2.4e-203  674.9   2.6   121   489   362   765   360   768 0.92 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 3113at5820           -            540  4.8e-248  822.4   9.6   4   4   1.1e-24   1.7e-22   78.0   0.0   489   540   842   896   832   896 0.94 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 3113at5820           -            540   1.1e-16   58.8   0.7   1   1   6.1e-18   9.7e-16   55.7   0.7   139   378    20   232     8   245 0.80 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 3113at5820           -            540   7.1e-14   49.5   3.2   1   2   4.5e-06   0.00071   16.5   0.7   134   209   590   663   578   671 0.82 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 3113at5820           -            540   7.1e-14   49.5   3.2   2   2   4.8e-11   7.6e-09   32.9   0.1   278   429   858   995   849  1019 0.82 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 3113at5820           -            540   7.6e-13   46.1   5.6   1   2     0.015       2.4    4.9   1.2   148   209   107   172    91   208 0.64 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 3113at5820           -            540   7.6e-13   46.1   5.6   2   2   4.4e-14   6.9e-12   43.0   0.3   279   376   210   301   199   338 0.87 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 3113at5820           -            540   9.3e-13   45.8   1.5   1   3   2.5e-05     0.004   14.0   0.4   148   220    19    88     8   103 0.84 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 3113at5820           -            540   9.3e-13   45.8   1.5   2   3   7.9e-09   1.3e-06   25.6   0.0   278   380   120   220   102   223 0.81 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
