#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091540.1-p1      -            155 12971at5820          -            124   1.2e-79  262.4   2.8   1   1     2e-82   1.4e-79  262.1   2.8     1   124    29   155    29   155 0.98 | transcript=PVX_091540.1 | gene=PVX_091540 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=Pv_Sal1_chr09:597359-597970(+) | protein_length=155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090195.1-p1      -            146 12971at5820          -            124   1.2e-25   87.9   5.6   1   1   2.3e-28   1.6e-25   87.5   5.6    10   104    38   136    28   143 0.90 | transcript=PVX_090195.1 | gene=PVX_090195 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit sigma, putative | transcript_product=AP-4 complex subunit sigma, putative | location=Pv_Sal1_chr05:1223186-1223839(-) | protein_length=146 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002675.1-p1      -            141 12971at5820          -            124   2.1e-24   83.8  10.3   1   1   4.2e-27   2.9e-24   83.4  10.3     2   105    30   135    29   140 0.93 | transcript=PVX_002675.1 | gene=PVX_002675 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit sigma, putative | transcript_product=AP-2 complex subunit sigma, putative | location=Pv_Sal1_chr04:179615-180549(+) | protein_length=141 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101420.1-p1      -            157 12971at5820          -            124   3.7e-19   66.9   4.2   1   1   7.1e-22   4.9e-19   66.5   4.2    10   115    39   152    30   155 0.85 | transcript=PVX_101420.1 | gene=PVX_101420 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit sigma, putative | transcript_product=AP-3 complex subunit sigma, putative | location=Pv_Sal1_chr14:2876057-2877379(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118455.1-p1      -            763 12971at5820          -            124   0.00031   18.7   0.7   1   2   4.5e-07   0.00031   18.7   0.7    32    91    74   135    57   162 0.82 | transcript=PVX_118455.1 | gene=PVX_118455 | organism=Plasmodium_vivax_Sal-1 | gene_product=clathrin coat assembly protein AP50, putative | transcript_product=clathrin coat assembly protein AP50, putative | location=Pv_Sal1_chr12:2725349-2727640(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118455.1-p1      -            763 12971at5820          -            124   0.00031   18.7   0.7   2   2       1.6   1.1e+03   -2.5   0.1    27    50   596   617   582   640 0.67 | transcript=PVX_118455.1 | gene=PVX_118455 | organism=Plasmodium_vivax_Sal-1 | gene_product=clathrin coat assembly protein AP50, putative | transcript_product=clathrin coat assembly protein AP50, putative | location=Pv_Sal1_chr12:2725349-2727640(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089725.1-p1      -            208 12971at5820          -            124   0.00036   18.5   0.5   1   1   7.9e-07   0.00055   17.9   0.5    37   113   108   186    70   196 0.78 | transcript=PVX_089725.1 | gene=PVX_089725 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer subunit zeta, putative | transcript_product=coatomer subunit zeta, putative | location=Pv_Sal1_chr05:790309-790935(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091610.1-p1      -            478 12971at5820          -            124   0.00089   17.2   2.5   1   1   3.2e-06    0.0022   16.0   2.5    32   105    62   135    50   145 0.87 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 12971at5820          -            124    0.0032   15.4   6.3   1   2      0.67   4.6e+02   -1.2   0.0    26    46    25    45    12    53 0.75 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122405.1-p1      -            458 12971at5820          -            124    0.0032   15.4   6.3   2   2   4.8e-06    0.0033   15.4   3.6    29   100    60   131    49   153 0.86 | transcript=PVX_122405.1 | gene=PVX_122405 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=Pv_Sal1_chr14:536460-537836(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
