#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098980.1-p1      -            446 6760at5820           -            323  7.6e-198  654.3  13.8   1   1    1e-200  1.4e-197  653.5  13.8    18   317    84   384    80   385 0.99 | transcript=PVX_098980.1 | gene=PVX_098980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic Fe-S cluster assembly factor NBP35, putative | transcript_product=cytosolic Fe-S cluster assembly factor NBP35, putative | location=Pv_Sal1_chr07:417670-419010(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092045.1-p1      -            582 6760at5820           -            323   5.3e-30  102.8  12.3   1   4     1e-11   1.4e-08   32.4   0.0    67   120   118   171   105   176 0.87 | transcript=PVX_092045.1 | gene=PVX_092045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1051092-1052840(+) | protein_length=582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092045.1-p1      -            582 6760at5820           -            323   5.3e-30  102.8  12.3   2   4   2.2e-24   3.1e-21   74.0   2.6   142   249   266   372   259   391 0.87 | transcript=PVX_092045.1 | gene=PVX_092045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1051092-1052840(+) | protein_length=582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092045.1-p1      -            582 6760at5820           -            323   5.3e-30  102.8  12.3   3   4      0.16   2.2e+02   -1.1   0.0    33    53   371   395   370   403 0.68 | transcript=PVX_092045.1 | gene=PVX_092045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1051092-1052840(+) | protein_length=582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092045.1-p1      -            582 6760at5820           -            323   5.3e-30  102.8  12.3   4   4     0.069        96    0.1   1.0    37    70   499   533   491   548 0.71 | transcript=PVX_092045.1 | gene=PVX_092045 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1051092-1052840(+) | protein_length=582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089705.1-p1      -            374 6760at5820           -            323    0.0004   17.7   2.8   1   4   1.8e-05     0.026   11.8   0.0    63   111    25    73    10    79 0.81 | transcript=PVX_089705.1 | gene=PVX_089705 | organism=Plasmodium_vivax_Sal-1 | gene_product=arsenical pump-driving ATPase, putative | transcript_product=arsenical pump-driving ATPase, putative | location=Pv_Sal1_chr05:772693-773817(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089705.1-p1      -            374 6760at5820           -            323    0.0004   17.7   2.8   2   4       0.1   1.4e+02   -0.5   0.0   268   316    82   130    75   134 0.73 | transcript=PVX_089705.1 | gene=PVX_089705 | organism=Plasmodium_vivax_Sal-1 | gene_product=arsenical pump-driving ATPase, putative | transcript_product=arsenical pump-driving ATPase, putative | location=Pv_Sal1_chr05:772693-773817(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089705.1-p1      -            374 6760at5820           -            323    0.0004   17.7   2.8   3   4      0.22   3.1e+02   -1.6   0.0    61    79   141   159   135   167 0.83 | transcript=PVX_089705.1 | gene=PVX_089705 | organism=Plasmodium_vivax_Sal-1 | gene_product=arsenical pump-driving ATPase, putative | transcript_product=arsenical pump-driving ATPase, putative | location=Pv_Sal1_chr05:772693-773817(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089705.1-p1      -            374 6760at5820           -            323    0.0004   17.7   2.8   4   4    0.0075        10    3.2   0.6   199   251   224   275   216   311 0.80 | transcript=PVX_089705.1 | gene=PVX_089705 | organism=Plasmodium_vivax_Sal-1 | gene_product=arsenical pump-driving ATPase, putative | transcript_product=arsenical pump-driving ATPase, putative | location=Pv_Sal1_chr05:772693-773817(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091195.1-p1      -            543 6760at5820           -            323      0.47    7.6   6.2   1   3      0.02        27    1.8   0.0   277   303   280   307   248   318 0.83 | transcript=PVX_091195.1 | gene=PVX_091195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=Pv_Sal1_chr09:332494-334125(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091195.1-p1      -            543 6760at5820           -            323      0.47    7.6   6.2   2   3    0.0092        13    2.9   0.3    31    92   343   406   325   418 0.71 | transcript=PVX_091195.1 | gene=PVX_091195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=Pv_Sal1_chr09:332494-334125(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
