#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   1  26   1.6e-86   8.6e-83  276.5  30.1     1   195     1   224     1   229 0.88 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   2  26   5.1e-95   2.8e-91  304.7  37.1   204   438   306   576   293   579 0.86 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   3  26   2.4e-75   1.3e-71  239.4  29.2   437   591   603   781   601   794 0.90 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   4  26   3.7e-79     2e-75  252.0  11.1   587   740   917  1070   911  1077 0.97 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   5  26   2.2e-89   1.2e-85  286.0  21.4   742   936  1103  1336  1090  1342 0.80 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   6  26  9.2e-125  5.1e-121  403.4  35.5   919  1170  1383  1647  1375  1657 0.94 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   7  26   7.1e-38   3.9e-34  115.0   0.2  1180  1250  1701  1771  1685  1792 0.93 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   8  26     3e-49   1.6e-45  152.8  14.3  1244  1351  1822  1927  1815  1946 0.85 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1   9  26   5.9e-06     0.033    9.1   0.0  1349  1375  1953  1979  1950  1988 0.88 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1  10  26   1.2e-37   6.9e-34  114.2  12.2  1375  1474  2021  2125  2015  2132 0.93 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123300.1-p1      -           5323 59at5820             -           3393         0 4923.6 539.1  11  26   5.1e-45   2.8e-41  138.7   1.9  1474  1567  2153  2248  2148  2266 0.93 | transcript=PVX_123300.1 | gene=PVX_123300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1315302-1331273(+) | protein_length=5323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
