#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123360.1-p1      -            586 4915at5820           -            487  6.5e-300  993.0  36.4   1   2   2.2e-07   0.00015   18.8   9.1     1    44     1    43     1    65 0.65 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 4915at5820           -            487  6.5e-300  993.0  36.4   2   2  1.1e-298  7.5e-296  979.6  19.6    31   486    83   542    59   543 0.93 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 4915at5820           -            487  1.1e-299  992.2  36.6   1   1  2.2e-298  1.5e-295  978.5  36.6     1   486     1   542     1   543 0.91 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091910.1-p1      -            566 4915at5820           -            487   7.2e-56  188.1  15.4   1   1   1.4e-58   9.5e-56  187.7  15.4    36   475   103   532    89   545 0.84 | transcript=PVX_091910.1 | gene=PVX_091910 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:938945-941234(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091905.1-p1      -            588 4915at5820           -            487   1.9e-39  133.9  15.2   1   1   3.8e-42   2.6e-39  133.4  15.2    71   432    61   424    15   470 0.85 | transcript=PVX_091905.1 | gene=PVX_091905 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:934926-937683(-) | protein_length=588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 4915at5820           -            487   3.4e-14   50.6   0.0   1   2   8.7e-06     0.006   13.5   0.0   304   357    15    69     5    79 0.79 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 4915at5820           -            487   3.4e-14   50.6   0.0   2   2   3.9e-12   2.7e-09   34.4   0.0   157   331    88   266    68   275 0.77 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111590.1-p1      -            874 4915at5820           -            487   9.5e-11   39.2   6.9   1   7    0.0032       2.2    5.1   4.5    36   106     5    76     2    84 0.83 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111590.1-p1      -            874 4915at5820           -            487   9.5e-11   39.2   6.9   2   7     4e-09   2.8e-06   24.5   0.5   271   355    97   182    80   187 0.84 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111590.1-p1      -            874 4915at5820           -            487   9.5e-11   39.2   6.9   3   7   7.4e-10   5.1e-07   26.9   1.0   273   358   153   242   150   256 0.87 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111590.1-p1      -            874 4915at5820           -            487   9.5e-11   39.2   6.9   4   7      0.43     3e+02   -2.0   0.1   270   307   314   349   269   391 0.62 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
