#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091785.1-p1      -            547 5094at5820           -            473         0 1057.4   8.8   1   2   1.8e-07   8.2e-05   19.7   0.7     1    20     1    20     1    24 0.92 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 5094at5820           -            473         0 1057.4   8.8   2   2         0         0 1041.9   2.1    22   472    96   546    79   547 0.99 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 5094at5820           -            473   2.5e-91  305.0   0.9   1   1   7.1e-94   3.3e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 5094at5820           -            473   2.5e-91  305.0   0.9   1   1   7.1e-94   3.3e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 5094at5820           -            473   4.8e-23   79.8   3.8   1   2   2.4e-22   1.1e-19   68.7   3.0    34   358    69   359    50   373 0.79 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 5094at5820           -            473   4.8e-23   79.8   3.8   2   2      0.29   1.3e+02   -0.8   0.0   452   469   436   453   411   455 0.84 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 5094at5820           -            473     7e-18   62.8   0.1   1   2   1.2e-13   5.5e-11   40.1   0.0    36   103   116   178    90   191 0.86 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 5094at5820           -            473     7e-18   62.8   0.1   2   2   1.4e-07   6.6e-05   20.0   0.0   115   210   255   344   247   372 0.84 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 5094at5820           -            473   2.6e-07   27.9   0.4   1   2   4.3e-09     2e-06   25.0   0.1    86   168   785   870   766   903 0.84 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 5094at5820           -            473   2.6e-07   27.9   0.4   2   2      0.14        65    0.2   0.0   281   331   979  1028   956  1053 0.72 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 5094at5820           -            473   0.00037   17.6   0.1   1   1   1.8e-06   0.00085   16.3   0.1    39   152    43   150    34   176 0.79 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
