#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111235.1-p1      -            441 5959at5820           -            374  7.2e-224  740.7  16.0   1   1  1.8e-226  1.7e-223  739.5  16.0     1   365     1   401     1   406 0.94 | transcript=PVX_111235.1 | gene=PVX_111235 | organism=Plasmodium_vivax_Sal-1 | gene_product=Secretory protein, putative | transcript_product=Secretory protein, putative | location=Pv_Sal1_chr06:619515-620840(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116940.1-p1      -            443 5959at5820           -            374   2.2e-11   41.5   0.2   1   1   3.7e-14   3.5e-11   40.8   0.2   308   367   347   406   337   411 0.90 | transcript=PVX_116940.1 | gene=PVX_116940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1410135-1411635(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 5959at5820           -            374   2.1e-07   28.4   0.0   1   1     6e-10   5.5e-07   27.0   0.0   256   356   334   433   320   442 0.92 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 5959at5820           -            374   0.00082   16.6   0.0   1   4     0.037        34    1.4   0.8   132   174    82   123    66   144 0.77 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 5959at5820           -            374   0.00082   16.6   0.0   2   4       0.3   2.7e+02   -1.6   1.3   315   358   231   273   190   288 0.63 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 5959at5820           -            374   0.00082   16.6   0.0   3   4     0.061        56    0.6   0.0   237   301   739   804   698   817 0.76 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 5959at5820           -            374   0.00082   16.6   0.0   4   4   8.9e-07   0.00082   16.6   0.0   309   358   873   922   861   933 0.83 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082800.1-p1      -            635 5959at5820           -            374    0.0025   14.9   4.9   1   1   4.1e-06    0.0038   14.4   4.9   134   249   439   554   398   573 0.76 | transcript=PVX_082800.1 | gene=PVX_082800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:685613-688070(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 5959at5820           -            374     0.034   11.2  12.7   1   4     0.039        36    1.3   0.6   153   266   445   561   426   570 0.59 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 5959at5820           -            374     0.034   11.2  12.7   2   4      0.74   6.8e+02   -2.9   0.1    64   113   644   694   629   770 0.67 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 5959at5820           -            374     0.034   11.2  12.7   3   4   0.00061      0.56    7.2   0.0   244   297   895   951   875   955 0.74 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 5959at5820           -            374     0.034   11.2  12.7   4   4   0.00015      0.14    9.2   0.5   307   356  1031  1080  1020  1098 0.84 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5959at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5959at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5959at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:15 2026
# [ok]
