#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098720.1-p1      -           1117 1750at5820           -            846         0 1450.7 105.6   1   4     1e-44   1.2e-41  141.3   0.2     1    92     8   115     8   122 0.90 | transcript=PVX_098720.1 | gene=PVX_098720 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:184512-188021(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098720.1-p1      -           1117 1750at5820           -            846         0 1450.7 105.6   2   4    2e-130  2.2e-127  424.9  21.7    89   326   167   430   158   434 0.93 | transcript=PVX_098720.1 | gene=PVX_098720 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:184512-188021(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098720.1-p1      -           1117 1750at5820           -            846         0 1450.7 105.6   3   4  1.8e-227  1.9e-224  746.0  53.3   326   746   483   956   478   961 0.93 | transcript=PVX_098720.1 | gene=PVX_098720 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:184512-188021(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098720.1-p1      -           1117 1750at5820           -            846         0 1450.7 105.6   4   4   5.5e-46   6.1e-43  145.6   9.2   747   846  1016  1117  1010  1117 0.97 | transcript=PVX_098720.1 | gene=PVX_098720 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:184512-188021(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1750at5820           -            846     2e-06   24.8   4.6   1   3   8.6e-05     0.095    9.3   0.3   333   459    78   206    53   225 0.80 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1750at5820           -            846     2e-06   24.8   4.6   2   3      0.36     4e+02   -2.7   0.0   697   722   433   458   363   482 0.61 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 1750at5820           -            846     2e-06   24.8   4.6   3   3   4.1e-07   0.00045   17.0   0.1    37    85   525   571   497   578 0.81 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 1750at5820           -            846   1.8e-05   21.6   0.5   1   2    0.0017       1.9    5.0   0.0    46   119     7    81     1    95 0.74 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 1750at5820           -            846   1.8e-05   21.6   0.5   2   2   1.8e-06    0.0019   14.9   0.1   301   410   104   219    94   242 0.80 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 1750at5820           -            846    0.0015   15.2   0.3   1   1   2.5e-06    0.0027   14.4   0.3   224   278   319   375   297   398 0.73 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002715.1-p1      -           1498 1750at5820           -            846     0.011   12.3   7.1   1   4   0.00085      0.94    6.0   0.5    20    88    35   106    23   122 0.74 | transcript=PVX_002715.1 | gene=PVX_002715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:210740-215431(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
