#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096165.1-p1      -            848 4592at5820           -            509  7.8e-232  769.1  13.3   1   7       0.4   1.1e+03   -3.4   0.1     1    18     5    22     5    27 0.89 | transcript=PVX_096165.1 | gene=PVX_096165 | organism=Plasmodium_vivax_Sal-1 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=Pv_Sal1_chr03:709000-711546(+) | protein_length=848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096165.1-p1      -            848 4592at5820           -            509  7.8e-232  769.1  13.3   2   7   3.7e-06      0.01   13.2   0.0    23    48   130   155   126   171 0.86 | transcript=PVX_096165.1 | gene=PVX_096165 | organism=Plasmodium_vivax_Sal-1 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=Pv_Sal1_chr03:709000-711546(+) | protein_length=848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096165.1-p1      -            848 4592at5820           -            509  7.8e-232  769.1  13.3   3   7    0.0015       4.1    4.6   0.0    54    96   209   260   199   262 0.78 | transcript=PVX_096165.1 | gene=PVX_096165 | organism=Plasmodium_vivax_Sal-1 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=Pv_Sal1_chr03:709000-711546(+) | protein_length=848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096165.1-p1      -            848 4592at5820           -            509  7.8e-232  769.1  13.3   4   7    9e-104  2.5e-100  335.2   0.2    96   271   290   465   287   469 0.98 | transcript=PVX_096165.1 | gene=PVX_096165 | organism=Plasmodium_vivax_Sal-1 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=Pv_Sal1_chr03:709000-711546(+) | protein_length=848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096165.1-p1      -            848 4592at5820           -            509  7.8e-232  769.1  13.3   5   7   2.2e-87     6e-84  281.2   0.4   269   425   516   672   512   676 0.98 | transcript=PVX_096165.1 | gene=PVX_096165 | organism=Plasmodium_vivax_Sal-1 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=Pv_Sal1_chr03:709000-711546(+) | protein_length=848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096165.1-p1      -            848 4592at5820           -            509  7.8e-232  769.1  13.3   6   7   2.2e-37   6.1e-34  116.2   0.3   412   491   723   806   691   809 0.80 | transcript=PVX_096165.1 | gene=PVX_096165 | organism=Plasmodium_vivax_Sal-1 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=Pv_Sal1_chr03:709000-711546(+) | protein_length=848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096165.1-p1      -            848 4592at5820           -            509  7.8e-232  769.1  13.3   7   7     1e-08   2.9e-05   21.6   0.0   486   509   823   846   820   846 0.93 | transcript=PVX_096165.1 | gene=PVX_096165 | organism=Plasmodium_vivax_Sal-1 | gene_product=metallo-hydrolase/oxidoreductase, putative | transcript_product=metallo-hydrolase/oxidoreductase, putative | location=Pv_Sal1_chr03:709000-711546(+) | protein_length=848 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117195.1-p1      -            911 4592at5820           -            509   5.3e-23   80.1  10.3   1   3   2.7e-11   7.4e-08   30.2   0.5   184   269    27   114    22   130 0.87 | transcript=PVX_117195.1 | gene=PVX_117195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1662726-1667255(-) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117195.1-p1      -            911 4592at5820           -            509   5.3e-23   80.1  10.3   2   3     8e-09   2.2e-05   22.0   0.2   153   231   627   709   588   712 0.79 | transcript=PVX_117195.1 | gene=PVX_117195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1662726-1667255(-) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117195.1-p1      -            911 4592at5820           -            509   5.3e-23   80.1  10.3   3   3     4e-12   1.1e-08   32.9   0.4   356   472   755   865   744   884 0.78 | transcript=PVX_117195.1 | gene=PVX_117195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1662726-1667255(-) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4592at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4592at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4592at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:17 2026
# [ok]
