#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084820.1-p1      -            559 5426at5820           -            491  8.3e-298  986.2  61.4   1   2   3.1e-90   2.4e-87  292.0  16.5     1   194     1   221     1   228 0.89 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 5426at5820           -            491  8.3e-298  986.2  61.4   2   2  6.8e-214  5.4e-211  699.8  37.8   166   491   227   559   224   559 0.99 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 5426at5820           -            491   8.4e-14   49.4   7.2   1   2   1.2e-12   9.8e-10   36.0   2.4   303   388     9    94     2   109 0.92 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 5426at5820           -            491   8.4e-14   49.4   7.2   2   2   1.7e-06    0.0013   15.8   0.2   180   239   304   367   284   383 0.76 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100995.1-p1      -            571 5426at5820           -            491   2.8e-12   44.4  11.5   1   1   6.1e-15   4.8e-12   43.6  11.5   288   411   382   508   352   534 0.84 | transcript=PVX_100995.1 | gene=PVX_100995 | organism=Plasmodium_vivax_Sal-1 | gene_product=TPR domain containing protein | transcript_product=TPR domain containing protein | location=Pv_Sal1_chr14:2571947-2573662(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 5426at5820           -            491   2.8e-09   34.5   4.6   1   2    0.0013         1    6.3   0.2   306   332   169   195   150   203 0.79 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 5426at5820           -            491   2.8e-09   34.5   4.6   2   2     1e-10   8.2e-08   29.7   0.7   335   407   254   327   226   354 0.80 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 5426at5820           -            491   1.2e-06   25.8   3.8   1   2   2.5e-08   1.9e-05   21.8   4.4   172   245   242   318   228   327 0.85 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 5426at5820           -            491   1.2e-06   25.8   3.8   2   2      0.11        84   -0.1   0.0   177   207   326   356   318   364 0.87 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101260.1-p1      -            302 5426at5820           -            491   2.1e-05   21.7   9.8   1   1   1.8e-07   0.00014   19.0   7.6   306   429   144   282   140   292 0.77 | transcript=PVX_101260.1 | gene=PVX_101260 | organism=Plasmodium_vivax_Sal-1 | gene_product=70 kDa peptidylprolyl isomerase, putative | transcript_product=70 kDa peptidylprolyl isomerase, putative | location=Pv_Sal1_chr14:2753964-2754872(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079865.1-p1      -            463 5426at5820           -            491   2.7e-05   21.4  24.0   1   2   0.00074      0.58    7.1  18.6   174   338   118   283   109   293 0.57 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
