#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123110.1-p1      -            318 12286at5820          -            258  2.8e-118  392.2 109.7   1   3     4e-81   6.6e-79  263.2  11.7     1   131     1   139     1   142 0.93 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 12286at5820          -            258  2.8e-118  392.2 109.7   2   3   9.4e-09   1.5e-06   26.0  59.2   122   183   143   204   140   205 0.77 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 12286at5820          -            258  2.8e-118  392.2 109.7   3   3   1.5e-37   2.5e-35  120.3  43.7   141   258   189   316   188   316 0.73 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099590.1-p1      -            409 12286at5820          -            258     4e-05   21.3   5.6   1   1   3.8e-07   6.1e-05   20.7   5.6   140   219    70   151    47   158 0.53 | transcript=PVX_099590.1 | gene=PVX_099590 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=Pv_Sal1_chr07:899007-900236(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083190.1-p1      -           1083 12286at5820          -            258   0.00011   20.0  11.5   1   1   1.4e-06   0.00022   18.9  11.5   149   213   110   172    89   189 0.54 | transcript=PVX_083190.1 | gene=PVX_083190 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:333447-336850(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000920.1-p1      -           1004 12286at5820          -            258   0.00012   19.8  38.8   1   2       7.7   1.2e+03   -3.2   1.7   148   163   184   199   140   205 0.38 | transcript=PVX_000920.1 | gene=PVX_000920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:202829-206020(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000920.1-p1      -           1004 12286at5820          -            258   0.00012   19.8  38.8   2   2   7.4e-07   0.00012   19.8  38.8   127   189   504   565   491   579 0.64 | transcript=PVX_000920.1 | gene=PVX_000920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:202829-206020(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 12286at5820          -            258   0.00032   18.4  31.0   1   2     2e-06   0.00032   18.4  31.0   107   191   212   295   191   345 0.41 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 12286at5820          -            258   0.00032   18.4  31.0   2   2      0.79   1.3e+02    0.0  10.9   157   196   536   565   487   609 0.55 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_106720-t26_1-p1  -            220 12286at5820          -            258   0.00053   17.7  16.8   1   1   4.7e-06   0.00076   17.2  16.8   138   190    42    92    14   137 0.52 | transcript=PVX_106720-t26_1 | gene=PVX_106720 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000046:2203-2991(-) | protein_length=220 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_093565.1-p1      -           1759 12286at5820          -            258    0.0013   16.4  16.6   1   1   7.8e-06    0.0013   16.4  16.6   140   210  1306  1378  1280  1386 0.60 | transcript=PVX_093565.1 | gene=PVX_093565 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:638670-647418(-) | protein_length=1759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
