#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115395.1-p1      -            494 7247at5820           -            349    4e-181  600.0  44.4   1   5   4.5e-27   1.8e-24   84.8   0.1     1    51     1    51     1    59 0.97 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 7247at5820           -            349    4e-181  600.0  44.4   2   5    0.0013      0.52    7.7   6.2    55   101    99   145    92   150 0.84 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 7247at5820           -            349    4e-181  600.0  44.4   3   5     0.031        12    3.1   1.1    69    99   145   175   139   183 0.70 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 7247at5820           -            349    4e-181  600.0  44.4   4   5   6.2e-36   2.5e-33  114.0   6.4    51   154   156   263   152   274 0.82 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 7247at5820           -            349    4e-181  600.0  44.4   5   5  9.5e-125  3.7e-122  406.1  12.6   147   348   282   493   269   494 0.94 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 7247at5820           -            349     2e-29  101.1   6.0   1   2   0.00021     0.081   10.3   0.0    19    47    13    41     3    46 0.84 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 7247at5820           -            349     2e-29  101.1   6.0   2   2   6.8e-29   2.7e-26   90.8   4.2    97   345    52   300    42   301 0.89 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 7247at5820           -            349     2e-29  101.1   6.0   1   2   0.00025     0.099   10.0   0.0    19    47    13    41     3    46 0.84 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 7247at5820           -            349     2e-29  101.1   6.0   2   2   5.3e-29   2.1e-26   91.2   4.1    96   346    51   301    41   304 0.89 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 7247at5820           -            349   3.2e-16   57.7   4.9   1   2     2e-06   0.00078   16.9   0.0   144   246    17   115     7   120 0.82 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 7247at5820           -            349   3.2e-16   57.7   4.9   2   2   5.3e-16   2.1e-13   48.4   2.6   109   347    79   315    76   317 0.82 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
