#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101335.1-p1      -            424 6938at5820           -            387  8.7e-271  895.4   7.3   1   1  4.5e-273  1.1e-270  895.1   7.3     6   387    36   424    33   424 0.99 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 6938at5820           -            387  6.5e-108  359.3   0.0   1   2     1e-56   2.5e-54  182.9   0.0   123   363   199   437   189   459 0.93 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 6938at5820           -            387  6.5e-108  359.3   0.0   2   2   4.6e-54   1.1e-51  174.2   0.0   122   354   471   704   460   712 0.95 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094615.1-p1      -            447 6938at5820           -            387    9e-108  358.8   0.1   1   1  5.2e-110  1.2e-107  358.3   0.1    91   374   152   436    92   441 0.95 | transcript=PVX_094615.1 | gene=PVX_094615 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=Pv_Sal1_chr08:393308-394940(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122410.1-p1      -            420 6938at5820           -            387  1.5e-104  348.2   0.4   1   1    8e-107  1.9e-104  347.8   0.4    73   373    97   405    72   415 0.92 | transcript=PVX_122410.1 | gene=PVX_122410 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=Pv_Sal1_chr14:539131-540623(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 6938at5820           -            387  8.4e-104  345.7   0.1   1   2     4e-58   9.7e-56  187.5   0.2   123   363   468   705   463   718 0.93 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 6938at5820           -            387  8.4e-104  345.7   0.1   2   2   1.7e-48   4.2e-46  155.8   0.0   124   361   789  1025   778  1028 0.95 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 6938at5820           -            387  1.5e-100  335.1   5.4   1   1  7.4e-103  1.8e-100  334.8   5.4     9   372     7   379     1   388 0.88 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 6938at5820           -            387   5.1e-93  310.3   0.0   1   1   3.3e-95   7.8e-93  309.6   0.0    92   374   149   432   141   441 0.96 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089640.1-p1      -            392 6938at5820           -            387   1.2e-91  305.8   1.3   1   1   6.2e-94   1.5e-91  305.4   1.3    40   374    40   383     6   390 0.87 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6938at5820           -            387   1.1e-64  217.0   8.1   1   4     7e-08   1.7e-05   22.1   0.0   130   190   348   408   335   429 0.85 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
