#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124085.1-p1      -           2011 760at5820            -           1541         0 2509.1  44.1   1   4   2.1e-22   1.7e-19   67.2   0.0     8    75    11    79     3    86 0.88 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124085.1-p1      -           2011 760at5820            -           1541         0 2509.1  44.1   2   4  3.1e-188  2.4e-185  616.8   0.7    77   441   109   560    93   569 0.90 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124085.1-p1      -           2011 760at5820            -           1541         0 2509.1  44.1   3   4   1.7e-85   1.4e-82  276.3   2.9   507   652   705   850   652   961 0.86 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124085.1-p1      -           2011 760at5820            -           1541         0 2509.1  44.1   4   4         0         0 1555.0  27.1   650  1540   961  2010   944  2011 0.92 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097025.1-p1      -           1726 760at5820            -           1541         0 1724.6 127.3   1   3   1.9e-12   1.5e-09   34.2   1.1     8    80    12    84     5    92 0.86 | transcript=PVX_097025.1 | gene=PVX_097025 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=Pv_Sal1_chr02:153642-158822(-) | protein_length=1726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097025.1-p1      -           1726 760at5820            -           1541         0 1724.6 127.3   2   3  5.3e-123  4.2e-120  400.6  47.6    65   513    96   574    81   592 0.80 | transcript=PVX_097025.1 | gene=PVX_097025 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=Pv_Sal1_chr02:153642-158822(-) | protein_length=1726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097025.1-p1      -           1726 760at5820            -           1541         0 1724.6 127.3   3   3         0         0 1296.6  65.4   480  1538   617  1724   578  1726 0.89 | transcript=PVX_097025.1 | gene=PVX_097025 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 1, putative | transcript_product=multidrug resistance-associated protein 1, putative | location=Pv_Sal1_chr02:153642-158822(-) | protein_length=1726 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 760at5820            -           1541   5.7e-13   45.5   4.4   1   3      0.15   1.2e+02   -1.9   0.2  1359  1388   471   501   464   536 0.84 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 760at5820            -           1541   5.7e-13   45.5   4.4   2   3   7.2e-16   5.7e-13   45.5   4.4   468   636   536   715   496   742 0.73 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 760at5820            -           1541   5.7e-13   45.5   4.4   3   3     0.025        20    0.7   0.0  1483  1518   742   778   724   782 0.86 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 760at5820            -           1541   2.5e-07   26.8   9.6   1   4     0.032        25    0.3   1.0    52   127   187   265   175   295 0.68 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 760at5820            -           1541   2.5e-07   26.8   9.6   2   4      0.01         8    1.9   0.1  1009  1061   288   340   266   350 0.81 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 760at5820            -           1541   2.5e-07   26.8   9.6   3   4   7.3e-10   5.8e-07   25.6   0.5  1289  1365   613   689   604   743 0.86 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 760at5820            -           1541   2.5e-07   26.8   9.6   4   4     0.025        20    0.7   0.0   616   638   812   834   789   870 0.80 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 760at5820            -           1541   2.5e-06   23.5   0.2   1   4       2.4   1.9e+03   -5.9   5.9   243   386   250   388   200   419 0.60 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 760at5820            -           1541   2.5e-06   23.5   0.2   2   4   3.1e-09   2.5e-06   23.5   0.2  1282  1358   491   567   479   582 0.73 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 760at5820            -           1541   2.5e-06   23.5   0.2   3   4     0.075        60   -0.9   0.0   618   636   710   728   690   741 0.87 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 760at5820            -           1541   2.5e-06   23.5   0.2   4   4     0.018        14    1.1   1.3  1476  1528   747   799   718   810 0.83 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 760at5820            -           1541   0.00028   16.7  37.0   1   4      0.13     1e+02   -1.7   1.4    75   137    53   115    26   253 0.81 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 760at5820            -           1541   0.00028   16.7  37.0   2   4     5e-05      0.04    9.6  28.8   945  1387   365   803   357   813 0.62 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 760at5820            -           1541   0.00028   16.7  37.0   3   4     0.052        41   -0.4   0.0   575   636   782   845   778   847 0.75 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 760at5820            -           1541   0.00028   16.7  37.0   4   4   3.4e-05     0.027   10.1   0.0  1480  1524   868   912   854   929 0.86 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 760at5820            -           1541   0.00057   15.7   1.1   1   2   8.5e-07   0.00067   15.5   0.1  1289  1349   116   178    96   186 0.87 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 760at5820            -           1541   0.00057   15.7   1.1   2   2      0.29   2.3e+02   -2.9   0.1  1481  1524   288   334   279   341 0.69 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/760at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
