#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114300.1-p1      -            910 3285at5820           -            554    6e-281  931.0  38.5   1   5   4.8e-30   4.4e-27   93.0   0.5     1    76    71   149    71   152 0.93 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 3285at5820           -            554    6e-281  931.0  38.5   2   5  4.1e-140  3.8e-137  456.3   9.0    73   312   167   422   157   426 0.94 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 3285at5820           -            554    6e-281  931.0  38.5   3   5   3.7e-39   3.4e-36  123.1   0.0   311   392   446   535   442   543 0.93 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 3285at5820           -            554    6e-281  931.0  38.5   4   5   1.7e-61   1.6e-58  196.8   7.1   388   503   609   724   606   729 0.98 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 3285at5820           -            554    6e-281  931.0  38.5   5   5   4.4e-25     4e-22   76.6   0.2   504   554   833   883   829   883 0.97 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 3285at5820           -            554   5.4e-16   56.4   8.7   1   2   1.2e-09   1.1e-06   25.7   0.6   112   216   325   443   309   460 0.73 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 3285at5820           -            554   5.4e-16   56.4   8.7   2   2   4.4e-12     4e-09   33.7   2.1   287   399   680   799   653   867 0.76 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 3285at5820           -            554   6.9e-11   39.5  12.5   1   3   1.3e-05     0.012   12.3   0.0   120   223   287   406   272   422 0.73 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 3285at5820           -            554   6.9e-11   39.5  12.5   2   3   1.8e-12   1.7e-09   35.0   0.1   295   365   586   656   576   669 0.89 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 3285at5820           -            554   6.9e-11   39.5  12.5   3   3         6   5.5e+03   -6.4   5.8   358   453  1027  1127  1023  1139 0.73 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 3285at5820           -            554    0.0013   15.5   0.1   1   1   2.2e-06     0.002   14.9   0.1   270   339   856   926   831   957 0.79 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 3285at5820           -            554    0.0014   15.4   0.1   1   1   2.4e-06    0.0023   14.7   0.1   289   342   494   548   444   586 0.78 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118190.1-p1      -            528 3285at5820           -            554    0.0014   15.4   0.1   1   1     3e-06    0.0028   14.4   0.1   243   340   337   437   321   494 0.79 | transcript=PVX_118190.1 | gene=PVX_118190 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX5, putative | transcript_product=ATP-dependent RNA helicase DDX5, putative | location=Pv_Sal1_chr12:2485618-2489052(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3285at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3285at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3285at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:20 2026
# [ok]
