#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114725.1-p1      -            661 5442at5820           -            422  4.6e-211  699.4  22.4   1   3   8.7e-65   1.2e-61  207.1   6.3     1   150     1   165     1   177 0.90 | transcript=PVX_114725.1 | gene=PVX_114725 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 1, putative | transcript_product=metacaspase 1, putative | location=Pv_Sal1_chr11:687049-689034(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114725.1-p1      -            661 5442at5820           -            422  4.6e-211  699.4  22.4   2   3  6.8e-131  9.3e-128  424.9   1.6   144   360   326   544   321   549 0.96 | transcript=PVX_114725.1 | gene=PVX_114725 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 1, putative | transcript_product=metacaspase 1, putative | location=Pv_Sal1_chr11:687049-689034(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114725.1-p1      -            661 5442at5820           -            422  4.6e-211  699.4  22.4   3   3     2e-25   2.8e-22   77.4   0.6   365   420   580   636   576   638 0.94 | transcript=PVX_114725.1 | gene=PVX_114725 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 1, putative | transcript_product=metacaspase 1, putative | location=Pv_Sal1_chr11:687049-689034(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 5442at5820           -            422   2.1e-13   48.2   5.9   1   4      0.84   1.2e+03   -3.7   6.7   120   186   799   867   787   897 0.79 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 5442at5820           -            422   2.1e-13   48.2   5.9   2   4     0.025        34    1.4   2.7   314   387  1166  1241  1161  1254 0.77 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 5442at5820           -            422   2.1e-13   48.2   5.9   3   4   1.5e-16   2.1e-13   48.2   5.9   144   314  1426  1595  1413  1658 0.81 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118575.1-p1      -           1933 5442at5820           -            422   2.1e-13   48.2   5.9   4   4       3.9   5.4e+03   -5.8   6.2    21    96  1793  1871  1785  1925 0.70 | transcript=PVX_118575.1 | gene=PVX_118575 | organism=Plasmodium_vivax_Sal-1 | gene_product=metacaspase 2, putative | transcript_product=metacaspase 2, putative | location=Pv_Sal1_chr12:2840977-2848787(-) | protein_length=1933 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085640.1-p1      -           1917 5442at5820           -            422   2.7e-13   47.9   0.3   1   2   1.8e-05     0.024   11.8   0.0   169   218  1291  1340  1237  1352 0.78 | transcript=PVX_085640.1 | gene=PVX_085640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1383241-1388994(+) | protein_length=1917 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085640.1-p1      -           1917 5442at5820           -            422   2.7e-13   47.9   0.3   2   2   3.8e-12   5.3e-09   33.7   0.1   222   354  1421  1568  1403  1604 0.69 | transcript=PVX_085640.1 | gene=PVX_085640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1383241-1388994(+) | protein_length=1917 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114720.1-p1      -            493 5442at5820           -            422   4.7e-07   27.3   7.0   1   1   5.2e-10   7.1e-07   26.7   7.0    14   110    26   128    15   210 0.84 | transcript=PVX_114720.1 | gene=PVX_114720 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:690456-691937(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5442at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5442at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5442at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:48 2026
# [ok]
