#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094380.1-p1      -            286 11400at5820          -            224  3.2e-125  414.3  46.4   1   3  2.8e-114  1.3e-111  369.8  35.3     1   193    11   213    11   222 0.95 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 11400at5820          -            224  3.2e-125  414.3  46.4   2   3   1.3e-05     0.006   14.4   1.2   179   200   218   239   210   245 0.77 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 11400at5820          -            224  3.2e-125  414.3  46.4   3   3   9.3e-13   4.3e-10   37.8   0.2   184   224   246   286   242   286 0.89 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 11400at5820          -            224  4.1e-125  413.9  46.4   1   3  3.3e-114  1.5e-111  369.6  35.3     1   193    11   213    11   222 0.95 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 11400at5820          -            224  4.1e-125  413.9  46.4   2   3   1.4e-05    0.0064   14.3   1.2   179   200   218   239   210   245 0.77 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 11400at5820          -            224  4.1e-125  413.9  46.4   3   3     1e-12   4.6e-10   37.7   0.2   184   224   246   286   242   286 0.89 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 11400at5820          -            224  3.6e-113  374.9  31.4   1   1  9.5e-116  4.4e-113  374.6  31.4     1   193    11   213    11   216 0.95 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 11400at5820          -            224   1.8e-40  137.1  29.6   1   3     4e-43   1.8e-40  137.1  29.6    12   145    69   202    59   288 0.81 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 11400at5820          -            224   1.8e-40  137.1  29.6   2   3      0.23   1.1e+02    0.5  10.8    54   120   388   451   361   504 0.64 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 11400at5820          -            224   1.8e-40  137.1  29.6   3   3      0.61   2.8e+02   -0.9   0.1   119   157   768   806   756   835 0.68 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 11400at5820          -            224   3.6e-13   47.8  67.9   1   4   1.9e-08   8.9e-06   23.7  10.5    47    93    93   137    88   141 0.87 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
