#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   1  10   4.7e-12   2.6e-08   31.4   0.1     2    32    12    42    11    47 0.94 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   2  10   1.7e-13   9.3e-10   36.2   0.1    32    78    63   109    59   111 0.90 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   3  10   1.5e-60   8.1e-57  191.5   2.1    59   200   159   314   155   318 0.90 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   4  10   3.9e-34   2.1e-30  104.3   0.0   201   282   356   437   352   440 0.97 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   5  10   2.2e-16   1.2e-12   45.7   0.1   283   324   472   513   468   517 0.92 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   6  10   1.7e-32   9.4e-29   98.9   1.4   324   401   568   646   565   652 0.94 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   7  10   5.2e-23   2.9e-19   67.6   0.0   402   455   690   744   686   747 0.96 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   8  10   2.7e-06     0.015   12.4   0.0   456   477   768   789   765   794 0.89 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8   9  10   1.1e-07   0.00062   17.0   0.0   476   505   823   852   820   856 0.92 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084715.1-p1      -            996 2535at5820           -            536  4.8e-185  614.7  29.8  10  10   1.2e-08   6.8e-05   20.1   0.0   502   534   923   955   915   957 0.90 | transcript=PVX_084715.1 | gene=PVX_084715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:563168-566158(-) | protein_length=996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2535at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2535at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2535at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:37 2026
# [ok]
