#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   1  11   3.3e-07   7.3e-05   19.4   0.0     1    25     1    25     1    36 0.90 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   2  11     7e-28   1.6e-25   87.8   0.0    23    91    48   116    44   119 0.95 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   3  11   5.4e-27   1.2e-24   84.9   0.0    93   153   149   209   143   214 0.96 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   4  11   4.1e-16   9.1e-14   48.9   0.0   159   211   276   337   272   342 0.90 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   5  11   4.6e-11     1e-08   32.1   0.0   212   264   382   440   378   443 0.83 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   6  11   3.5e-27   7.8e-25   85.5   0.0   264   343   477   565   473   568 0.89 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   7  11   1.8e-27   4.1e-25   86.4   4.6   344   434   618   721   614   738 0.85 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   8  11   1.2e-39   2.6e-37  126.8   0.0   435   562   829   968   816   978 0.85 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6   9  11   1.3e-90   2.8e-88  295.5  11.1   550   749  1040  1249  1030  1252 0.93 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6  10  11   1.7e-13   3.8e-11   40.2   0.0   748   780  1278  1310  1271  1320 0.92 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096145.1-p1      -           1612 1624at5820           -            953         0 1158.3  46.6  11  11   2.6e-76   5.7e-74  248.1  12.5   779   953  1411  1612  1408  1612 0.86 | transcript=PVX_096145.1 | gene=PVX_096145 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=Pv_Sal1_chr03:726423-731261(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
