#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   1  10   2.6e-35   1.4e-31  107.3   0.2     1    78     1    86     1    93 0.89 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   2  10   9.6e-48   5.3e-44  148.5   0.0    77   169   189   281   181   285 0.97 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   3  10   1.3e-49     7e-46  154.7   0.8   170   283   308   433   306   437 0.92 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   4  10  8.3e-119  4.6e-115  383.9  12.3   284   517   482   752   473   758 0.88 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   5  10   4.2e-48   2.3e-44  149.7   0.2   520   610   872   962   868   965 0.97 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   6  10     1e-42   5.6e-39  131.9   0.0   610   710   990  1099   984  1104 0.93 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   7  10   6.2e-18   3.4e-14   49.8   0.1   711   772  1219  1285  1205  1306 0.87 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   8  10   8.6e-43   4.8e-39  132.1   2.9   778   884  1509  1622  1484  1626 0.91 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1   9  10   2.5e-54   1.4e-50  170.3   3.8   906  1027  1793  1924  1787  1934 0.86 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 943at5820            -           1188         0 1662.7  65.1  10  10   7.7e-80   4.3e-76  254.8   4.9  1032  1188  1999  2172  1985  2172 0.91 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
