#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092275.1-p1      -            562 6016at5820           -            461  6.9e-231  764.9  31.3   1   3   7.6e-05      0.21    8.4   0.1     1    21     1    21     1    32 0.85 | transcript=PVX_092275.1 | gene=PVX_092275 | organism=Plasmodium_vivax_Sal-1 | gene_product=apical membrane antigen 1 | transcript_product=apical membrane antigen 1 | location=Pv_Sal1_chr09:1229515-1231203(+) | protein_length=562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092275.1-p1      -            562 6016at5820           -            461  6.9e-231  764.9  31.3   2   3  1.5e-205  4.1e-202  670.1  20.9    19   403    45   472    30   476 0.93 | transcript=PVX_092275.1 | gene=PVX_092275 | organism=Plasmodium_vivax_Sal-1 | gene_product=apical membrane antigen 1 | transcript_product=apical membrane antigen 1 | location=Pv_Sal1_chr09:1229515-1231203(+) | protein_length=562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092275.1-p1      -            562 6016at5820           -            461  6.9e-231  764.9  31.3   3   3   2.1e-29   5.8e-26   89.3   0.6   409   461   506   562   498   562 0.87 | transcript=PVX_092275.1 | gene=PVX_092275 | organism=Plasmodium_vivax_Sal-1 | gene_product=apical membrane antigen 1 | transcript_product=apical membrane antigen 1 | location=Pv_Sal1_chr09:1229515-1231203(+) | protein_length=562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092975.1-p1      -           1872 6016at5820           -            461   2.3e-13   47.8  23.3   1   7   0.00021      0.57    6.9   0.0     7    42     6    39     1   117 0.88 | transcript=PVX_092975.1 | gene=PVX_092975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite adhesive erythrocytic binding protein | transcript_product=merozoite adhesive erythrocytic binding protein | location=Pv_Sal1_chr09:1892698-1899063(+) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092975.1-p1      -           1872 6016at5820           -            461   2.3e-13   47.8  23.3   2   7     1e-06    0.0028   14.6   1.2   139   228   250   342   217   357 0.76 | transcript=PVX_092975.1 | gene=PVX_092975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite adhesive erythrocytic binding protein | transcript_product=merozoite adhesive erythrocytic binding protein | location=Pv_Sal1_chr09:1892698-1899063(+) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092975.1-p1      -           1872 6016at5820           -            461   2.3e-13   47.8  23.3   3   7   0.00037         1    6.1   0.1   306   335   400   429   382   440 0.89 | transcript=PVX_092975.1 | gene=PVX_092975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite adhesive erythrocytic binding protein | transcript_product=merozoite adhesive erythrocytic binding protein | location=Pv_Sal1_chr09:1892698-1899063(+) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092975.1-p1      -           1872 6016at5820           -            461   2.3e-13   47.8  23.3   4   7     0.019        53    0.5   0.0    22    41   590   609   581   633 0.83 | transcript=PVX_092975.1 | gene=PVX_092975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite adhesive erythrocytic binding protein | transcript_product=merozoite adhesive erythrocytic binding protein | location=Pv_Sal1_chr09:1892698-1899063(+) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092975.1-p1      -           1872 6016at5820           -            461   2.3e-13   47.8  23.3   5   7     0.029        80   -0.1   0.0    34    78   626   675   605   703 0.75 | transcript=PVX_092975.1 | gene=PVX_092975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite adhesive erythrocytic binding protein | transcript_product=merozoite adhesive erythrocytic binding protein | location=Pv_Sal1_chr09:1892698-1899063(+) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092975.1-p1      -           1872 6016at5820           -            461   2.3e-13   47.8  23.3   6   7     3e-07   0.00084   16.3   2.4   141   229   835   928   808   943 0.78 | transcript=PVX_092975.1 | gene=PVX_092975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite adhesive erythrocytic binding protein | transcript_product=merozoite adhesive erythrocytic binding protein | location=Pv_Sal1_chr09:1892698-1899063(+) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092975.1-p1      -           1872 6016at5820           -            461   2.3e-13   47.8  23.3   7   7   1.3e-05     0.035   10.9   0.1   295   356   974  1037   952  1049 0.73 | transcript=PVX_092975.1 | gene=PVX_092975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite adhesive erythrocytic binding protein | transcript_product=merozoite adhesive erythrocytic binding protein | location=Pv_Sal1_chr09:1892698-1899063(+) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
