#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098805.1-p1      -           1220 4469at5820           -            832         0 1207.2  88.9   1   1         0         0 1184.5  88.9     1   825     1  1208     1  1218 0.83 | transcript=PVX_098805.1 | gene=PVX_098805 | organism=Plasmodium_vivax_Sal-1 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=Pv_Sal1_chr07:263955-267617(+) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116570.1-p1      -            547 4469at5820           -            832   1.6e-39  134.3  15.7   1   1   2.4e-42   2.7e-39  133.5  15.7   158   383   265   503   244   516 0.85 | transcript=PVX_116570.1 | gene=PVX_116570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=Pv_Sal1_chr12:1096772-1098415(-) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091355.1-p1      -            372 4469at5820           -            832   5.6e-23   79.5  19.3   1   2      0.65   7.2e+02   -3.6   4.8   545   658    23    64     2    82 0.26 | transcript=PVX_091355.1 | gene=PVX_091355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:449909-452898(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091355.1-p1      -            372 4469at5820           -            832   5.6e-23   79.5  19.3   2   2   5.1e-26   5.6e-23   79.5  19.3   148   388    86   336    62   354 0.82 | transcript=PVX_091355.1 | gene=PVX_091355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:449909-452898(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097895.1-p1      -            748 4469at5820           -            832   9.7e-18   62.2  12.5   1   3         1   1.1e+03   -4.2   2.5    63    92   131   161    41   182 0.55 | transcript=PVX_097895.1 | gene=PVX_097895 | organism=Plasmodium_vivax_Sal-1 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=Pv_Sal1_chr10:1063010-1065256(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097895.1-p1      -            748 4469at5820           -            832   9.7e-18   62.2  12.5   2   3     0.043        47    0.4   0.0   192   213   275   296   247   299 0.91 | transcript=PVX_097895.1 | gene=PVX_097895 | organism=Plasmodium_vivax_Sal-1 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=Pv_Sal1_chr10:1063010-1065256(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097895.1-p1      -            748 4469at5820           -            832   9.7e-18   62.2  12.5   3   3   8.8e-21   9.7e-18   62.2  12.5   222   382   341   500   339   507 0.97 | transcript=PVX_097895.1 | gene=PVX_097895 | organism=Plasmodium_vivax_Sal-1 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=Pv_Sal1_chr10:1063010-1065256(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116825.1-p1      -            620 4469at5820           -            832     1e-09   35.6   7.8   1   3      0.52   5.7e+02   -3.2   0.1   529   529    28    28     5    91 0.51 | transcript=PVX_116825.1 | gene=PVX_116825 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1322954-1325003(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116825.1-p1      -            620 4469at5820           -            832     1e-09   35.6   7.8   2   3   2.1e-08   2.3e-05   21.2   0.0   187   258   146   217   140   244 0.84 | transcript=PVX_116825.1 | gene=PVX_116825 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1322954-1325003(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116825.1-p1      -            620 4469at5820           -            832     1e-09   35.6   7.8   3   3   2.8e-07   0.00032   17.5   1.7   283   347   282   346   275   350 0.94 | transcript=PVX_116825.1 | gene=PVX_116825 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1322954-1325003(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4469at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4469at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4469at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:50 2026
# [ok]
