#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111025.1-p1      -            657 3835at5820           -            545  6.9e-301  996.7  54.6   1   2  4.7e-178  8.6e-175  580.5  31.4     1   312     1   354     1   360 0.92 | transcript=PVX_111025.1 | gene=PVX_111025 | organism=Plasmodium_vivax_Sal-1 | gene_product=vesicle transport-related protein, putative | transcript_product=vesicle transport-related protein, putative | location=Pv_Sal1_chr06:778564-780537(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111025.1-p1      -            657 3835at5820           -            545  6.9e-301  996.7  54.6   2   2  2.1e-127  3.8e-124  413.3  15.2   307   545   372   652   370   652 0.92 | transcript=PVX_111025.1 | gene=PVX_111025 | organism=Plasmodium_vivax_Sal-1 | gene_product=vesicle transport-related protein, putative | transcript_product=vesicle transport-related protein, putative | location=Pv_Sal1_chr06:778564-780537(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113820.1-p1      -            654 3835at5820           -            545   6.3e-08   29.7   7.0   1   3   1.1e-10   2.1e-07   28.0   0.7    34   259    24   253    12   261 0.77 | transcript=PVX_113820.1 | gene=PVX_113820 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin binding protein, putative | transcript_product=syntaxin binding protein, putative | location=Pv_Sal1_chr11:1481994-1483958(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113820.1-p1      -            654 3835at5820           -            545   6.3e-08   29.7   7.0   2   3      0.11   2.1e+02   -1.7   0.4   261   321   301   365   289   407 0.70 | transcript=PVX_113820.1 | gene=PVX_113820 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin binding protein, putative | transcript_product=syntaxin binding protein, putative | location=Pv_Sal1_chr11:1481994-1483958(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113820.1-p1      -            654 3835at5820           -            545   6.3e-08   29.7   7.0   3   3    0.0022       4.1    3.9   0.0   495   540   602   647   593   651 0.90 | transcript=PVX_113820.1 | gene=PVX_113820 | organism=Plasmodium_vivax_Sal-1 | gene_product=syntaxin binding protein, putative | transcript_product=syntaxin binding protein, putative | location=Pv_Sal1_chr11:1481994-1483958(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002720.1-p1      -            715 3835at5820           -            545   1.7e-07   28.3  34.8   1   4     0.033        61    0.1   0.3    20    68    16    63     9    72 0.77 | transcript=PVX_002720.1 | gene=PVX_002720 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=Pv_Sal1_chr04:216342-218489(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002720.1-p1      -            715 3835at5820           -            545   1.7e-07   28.3  34.8   2   4     1e-05     0.018   11.7   2.2    69   150    91   173    82   188 0.88 | transcript=PVX_002720.1 | gene=PVX_002720 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=Pv_Sal1_chr04:216342-218489(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002720.1-p1      -            715 3835at5820           -            545   1.7e-07   28.3  34.8   3   4     0.017        31    1.0   0.1   159   199   276   315   269   332 0.78 | transcript=PVX_002720.1 | gene=PVX_002720 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=Pv_Sal1_chr04:216342-218489(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002720.1-p1      -            715 3835at5820           -            545   1.7e-07   28.3  34.8   4   4   3.1e-10   5.8e-07   26.5  15.2   227   540   378   708   365   712 0.75 | transcript=PVX_002720.1 | gene=PVX_002720 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=Pv_Sal1_chr04:216342-218489(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3835at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3835at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3835at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:59 2026
# [ok]
