#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114100.1-p1      -           1314 1244at5820           -           1042         0 1765.5  63.2   1   5   4.5e-84   1.2e-80  270.1   8.4     2   154     5   160     4   162 0.97 | transcript=PVX_114100.1 | gene=PVX_114100 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=Pv_Sal1_chr11:1242335-1246279(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114100.1-p1      -           1314 1244at5820           -           1042         0 1765.5  63.2   2   5  3.6e-182  9.8e-179  594.9   8.1   154   463   187   520   182   527 0.96 | transcript=PVX_114100.1 | gene=PVX_114100 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=Pv_Sal1_chr11:1242335-1246279(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114100.1-p1      -           1314 1244at5820           -           1042         0 1765.5  63.2   3   5  2.1e-102   5.7e-99  330.8   1.3   456   679   550   808   544   819 0.90 | transcript=PVX_114100.1 | gene=PVX_114100 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=Pv_Sal1_chr11:1242335-1246279(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114100.1-p1      -           1314 1244at5820           -           1042         0 1765.5  63.2   4   5   7.7e-82   2.1e-78  262.7  14.0   677   860   843  1064   818  1068 0.85 | transcript=PVX_114100.1 | gene=PVX_114100 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=Pv_Sal1_chr11:1242335-1246279(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114100.1-p1      -           1314 1244at5820           -           1042         0 1765.5  63.2   5   5  3.2e-102   8.9e-99  330.2   1.1   862  1042  1118  1313  1110  1313 0.95 | transcript=PVX_114100.1 | gene=PVX_114100 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=Pv_Sal1_chr11:1242335-1246279(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114495.1-p1      -           1053 1244at5820           -           1042   2.2e-09   34.2   0.8   1   4      0.02        56   -0.2   0.0    23    71   137   185   126   198 0.83 | transcript=PVX_114495.1 | gene=PVX_114495 | organism=Plasmodium_vivax_Sal-1 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=Pv_Sal1_chr11:920422-923583(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114495.1-p1      -           1053 1244at5820           -           1042   2.2e-09   34.2   0.8   2   4   4.9e-06     0.013   11.8   0.0   120   275   558   718   510   735 0.75 | transcript=PVX_114495.1 | gene=PVX_114495 | organism=Plasmodium_vivax_Sal-1 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=Pv_Sal1_chr11:920422-923583(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114495.1-p1      -           1053 1244at5820           -           1042   2.2e-09   34.2   0.8   3   4   8.5e-08   0.00023   17.6   0.0   395   446   835   886   815   906 0.85 | transcript=PVX_114495.1 | gene=PVX_114495 | organism=Plasmodium_vivax_Sal-1 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=Pv_Sal1_chr11:920422-923583(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114495.1-p1      -           1053 1244at5820           -           1042   2.2e-09   34.2   0.8   4   4     0.049   1.4e+02   -1.5   0.0   461   514   968  1022   962  1044 0.68 | transcript=PVX_114495.1 | gene=PVX_114495 | organism=Plasmodium_vivax_Sal-1 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=Pv_Sal1_chr11:920422-923583(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1244at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1244at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1244at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:54 2026
# [ok]
