#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118325.1-p1      -            101 15144at5820          -             92   5.2e-62  204.9   5.6   1   1   1.1e-64   5.9e-62  204.7   5.6     1    92     7    98     7    98 0.99 | transcript=PVX_118325.1 | gene=PVX_118325 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=Pv_Sal1_chr12:2603522-2604198(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083405.1-p1      -             94 15144at5820          -             92   9.7e-11   40.5   0.5   1   1   2.2e-13   1.2e-10   40.2   0.4    16    75    29    86    14    91 0.91 | transcript=PVX_083405.1 | gene=PVX_083405 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=Pv_Sal1_chr12:148064-148815(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089370.1-p1      -             91 15144at5820          -             92   3.7e-06   25.9   0.1   1   1   8.3e-09   4.6e-06   25.6   0.1    13    64    17    69     7    89 0.70 | transcript=PVX_089370.1 | gene=PVX_089370 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=Pv_Sal1_chr05:503744-504583(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084490.1-p1      -            107 15144at5820          -             92   5.5e-06   25.3   0.1   1   1   1.3e-08   6.9e-06   25.0   0.1    10    54    20    64    14   100 0.74 | transcript=PVX_084490.1 | gene=PVX_084490 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=Pv_Sal1_chr13:360441-361222(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089250.1-p1      -             83 15144at5820          -             92   2.9e-05   23.0   0.1   1   1   1.3e-07     7e-05   21.8   0.1    12    51    16    55     9    81 0.87 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002615.1-p1      -            101 15144at5820          -             92   0.00052   19.0   0.4   1   1   1.2e-06   0.00069   18.6   0.4     6    66    18    79    16    96 0.75 | transcript=PVX_002615.1 | gene=PVX_002615 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=Pv_Sal1_chr04:141438-141976(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 15144at5820          -             92    0.0015   17.5   0.2   1   2   6.3e-06    0.0035   16.3   0.1    18    85    15    87     6    94 0.75 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 15144at5820          -             92    0.0015   17.5   0.2   2   2      0.69   3.8e+02    0.2   0.0    62    84    85   107    78   109 0.86 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088885.1-p1      -             95 15144at5820          -             92     0.004   16.1   0.4   1   1   8.3e-06    0.0046   15.9   0.4    16    59    12    55     4    86 0.82 | transcript=PVX_088885.1 | gene=PVX_088885 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=Pv_Sal1_chr05:133974-134790(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091960.1-p1      -             86 15144at5820          -             92     0.029   13.4   0.0   1   1   5.7e-05     0.031   13.3   0.0     9    50    13    54     6    75 0.87 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_104180-t26_1-p1  -            386 15144at5820          -             92       8.5    5.5  14.1   1   2     0.039        22    4.2   4.3    30    89    37    96    29   100 0.79 | transcript=PVX_104180-t26_1 | gene=PVX_104180 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000038:4038-5535(+) | protein_length=386 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
