#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111280.1-p1      -            371 8597at5820           -            287    2e-134  445.4   8.7   1   1    4e-137  2.8e-134  445.0   8.7     1   280     1   311     1   317 0.91 | transcript=PVX_111280.1 | gene=PVX_111280 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=Pv_Sal1_chr06:586132-587387(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 8597at5820           -            287   8.2e-05   20.1  29.6   1   1   2.5e-07   0.00017   19.0  29.6    24   217    39   237    24   258 0.71 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 8597at5820           -            287   8.9e-05   20.0  29.5   1   1   2.7e-07   0.00018   18.9  29.5    24   217    39   237    24   258 0.71 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 8597at5820           -            287   0.00065   17.2  64.6   1   2   0.00019      0.13    9.6  24.1    40   121   103   186    84   189 0.56 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 8597at5820           -            287   0.00065   17.2  64.6   2   2   0.00025      0.17    9.2  33.2    42   171   189   324   186   405 0.77 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 8597at5820           -            287     0.014   12.8  33.2   1   1   4.8e-05     0.033   11.5  33.2    24   190    39   208    24   215 0.69 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 8597at5820           -            287      0.03   11.7  32.6   1   3   0.00093      0.64    7.3   9.7    24    89    58   133    43   136 0.76 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 8597at5820           -            287      0.03   11.7  32.6   2   3   0.00029       0.2    9.0  12.2    53   109   135   187   131   197 0.79 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 8597at5820           -            287      0.03   11.7  32.6   3   3      0.96   6.6e+02   -2.6   5.3    36    67   197   230   165   235 0.69 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 8597at5820           -            287      0.19    9.0  39.3   1   2   1.1e-05    0.0078   13.6  26.6    37   121    36   122     5   130 0.79 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 8597at5820           -            287      0.19    9.0  39.3   2   2     0.057        39    1.5   3.6    43    80   138   175   127   187 0.88 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
