#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084825.1-p1      -            149 13322at5820          -            149    2e-101  334.5  11.2   1   1  1.1e-103  2.2e-101  334.3  11.2     1   149     1   149     1   149 1.00 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 13322at5820          -            149   8.1e-43  144.3  11.8   1   1   4.6e-45   9.4e-43  144.1  11.8     4   146    20   162    17   165 0.98 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 13322at5820          -            149   4.7e-33  112.6   6.2   1   1   2.7e-35   5.6e-33  112.4   6.2     5   148    21   164    18   165 0.98 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 13322at5820          -            149   1.2e-32  111.3   9.9   1   1   7.4e-35   1.5e-32  111.0   9.9     4   146    31   173    29   176 0.98 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 13322at5820          -            149   3.2e-24   84.0   3.5   1   1   3.6e-26   7.4e-24   82.8   3.5     2   147   415   560   414   562 0.86 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 13322at5820          -            149   3.6e-20   70.8   1.2   1   1   1.8e-22   3.6e-20   70.8   1.2     6   146   456   598   451   601 0.78 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 13322at5820          -            149   1.9e-18   65.3   4.6   1   1   1.1e-20   2.3e-18   64.9   4.6     7   147    13   153     7   155 0.96 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 13322at5820          -            149   1.8e-16   58.8   4.9   1   1   1.2e-17   2.5e-15   55.1   3.5     3   147   371   524   369   526 0.76 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 13322at5820          -            149     3e-16   58.1   5.6   1   1   3.4e-18   6.9e-16   56.9   5.6     6   146   372   517   364   520 0.83 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 13322at5820          -            149   6.9e-13   47.2   9.4   1   3   1.9e-08   3.8e-06   25.3   0.4     3    55     3    55     1    63 0.90 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 13322at5820          -            149   6.9e-13   47.2   9.4   2   3       2.8   5.8e+02   -1.2   0.0    16    57    73   114    60   121 0.64 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
