#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118320.1-p1      -            834 3489at5820           -            618         0 1073.5  98.4   1   6     2e-88   1.5e-85  286.3  18.3     1   157     1   165     1   171 0.95 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 3489at5820           -            618         0 1073.5  98.4   2   6   1.5e-81   1.2e-78  263.5   2.4   156   306   197   358   190   366 0.93 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 3489at5820           -            618         0 1073.5  98.4   3   6   3.4e-66   2.7e-63  212.8  25.0   300   415   400   515   383   533 0.92 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 3489at5820           -            618         0 1073.5  98.4   4   6   6.7e-12   5.3e-09   33.5   5.4   414   463   540   594   518   608 0.77 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 3489at5820           -            618         0 1073.5  98.4   5   6   2.3e-35   1.8e-32  111.0   4.6   444   519   611   686   595   697 0.86 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118320.1-p1      -            834 3489at5820           -            618         0 1073.5  98.4   6   6     3e-61   2.3e-58  196.5   4.6   512   618   715   834   700   834 0.87 | transcript=PVX_118320.1 | gene=PVX_118320 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2600182-2603064(+) | protein_length=834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3489at5820           -            618     8e-07   26.3   2.0   1   4   4.9e-05     0.038   10.8   0.0   334   388    87   142    49   153 0.80 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3489at5820           -            618     8e-07   26.3   2.0   2   4     0.031        25    1.5   0.0   217   253   152   189   143   199 0.69 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3489at5820           -            618     8e-07   26.3   2.0   3   4   5.2e-05     0.041   10.7   0.0    64   134   203   271   191   289 0.84 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3489at5820           -            618     8e-07   26.3   2.0   4   4      0.16   1.3e+02   -0.9   0.0    67    90   294   317   284   321 0.84 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 3489at5820           -            618     1e-06   25.9   3.8   1   3         7   5.5e+03  -25.6  29.8   304   331    65    94    16   320 0.48 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 3489at5820           -            618     1e-06   25.9   3.8   2   3   3.8e-06     0.003   14.5   0.1   301   393   390   483   358   507 0.77 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 3489at5820           -            618     1e-06   25.9   3.8   3   3   4.7e-08   3.7e-05   20.8   0.8    54   142   526   614   508   631 0.88 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3489at5820           -            618   1.1e-06   25.8   0.4   1   5         7   5.5e+03   -7.8  11.6   324   467    46   187    38   210 0.52 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3489at5820           -            618   1.1e-06   25.8   0.4   2   5   1.4e-09   1.1e-06   25.8   0.4    74   140   294   360   279   366 0.86 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3489at5820           -            618   1.1e-06   25.8   0.4   3   5    0.0011      0.89    6.3   0.1   224   254   368   397   356   416 0.68 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3489at5820           -            618   1.1e-06   25.8   0.4   4   5     0.037        30    1.3   0.1    77   156   423   501   407   512 0.71 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3489at5820           -            618   1.1e-06   25.8   0.4   5   5      0.62   4.9e+02   -2.8   0.0   543   572   511   540   503   557 0.80 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 3489at5820           -            618   3.5e-06   24.1   9.7   1   5     0.005       3.9    4.2   0.3   184   253    81   153    46   164 0.66 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 3489at5820           -            618   3.5e-06   24.1   9.7   2   5   0.00046      0.36    7.6   0.0    59   107   162   210   153   215 0.85 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 3489at5820           -            618   3.5e-06   24.1   9.7   3   5     0.012       9.4    2.9   1.4   333   456   341   471   335   488 0.72 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
