#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114990.1-p1      -           3144 188at5820            -           2473         0 4586.3 200.0   1   4         0         0 2312.4 101.4     1  1182     1  1263     1  1275 0.97 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 188at5820            -           2473         0 4586.3 200.0   2   4  1.8e-234  3.3e-231  769.0  39.5  1176  1582  1298  1711  1293  1716 0.97 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 188at5820            -           2473         0 4586.3 200.0   3   4   1.3e-99   2.4e-96  321.7   9.5  1581  1882  1747  2225  1737  2265 0.85 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 188at5820            -           2473         0 4586.3 200.0   4   4         0         0 1197.0  25.6  1875  2473  2410  3133  2376  3133 0.94 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 188at5820            -           2473  2.3e-179  597.0 134.4   1   9   1.4e-34   2.7e-31  105.9  20.8    22   379    58   430    38   448 0.77 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 188at5820            -           2473  2.3e-179  597.0 134.4   2   9         3   5.5e+03   -8.3   8.9  1816  1919   463   565   441   573 0.50 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 188at5820            -           2473  2.3e-179  597.0 134.4   3   9     0.045        84   -1.9   0.0   383   423   684   724   671   729 0.86 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 188at5820            -           2473  2.3e-179  597.0 134.4   4   9      0.52   9.5e+02   -5.4   3.6  1811  1932   746   873   722   887 0.51 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 188at5820            -           2473  2.3e-179  597.0 134.4   5   9     0.052        97   -2.1  22.7  1798  1931  1163  1297  1040  1328 0.65 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 188at5820            -           2473  2.3e-179  597.0 134.4   6   9    0.0022       4.1    2.4   0.4   600   689  1407  1496  1378  1501 0.78 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 188at5820            -           2473  2.3e-179  597.0 134.4   7   9   1.1e-21   2.1e-18   63.1  39.4   695  1211  1636  2180  1629  2206 0.74 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
