#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116625.1-p1      -             77 15158at5820          -             65   4.5e-45  149.7   2.8   1   1   4.6e-46   3.6e-43  143.6   2.8     1    65     1    74     1    74 0.94 | transcript=PVX_116625.1 | gene=PVX_116625 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr12:1152682-1152915(+) | protein_length=77 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091960.1-p1      -             86 15158at5820          -             65   3.4e-13   47.5   0.1   1   1   1.6e-15   1.2e-12   45.8   0.1     5    63     9    76     5    77 0.85 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091025.1-p1      -            127 15158at5820          -             65   6.2e-05   21.1   1.5   1   2   3.3e-07   0.00026   19.1   0.2    15    63    13    71     4    73 0.73 | transcript=PVX_091025.1 | gene=PVX_091025 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=Pv_Sal1_chr09:179286-180121(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091025.1-p1      -            127 15158at5820          -             65   6.2e-05   21.1   1.5   2   2       2.5     2e+03   -2.9   0.1    39    49    77    87    74    92 0.66 | transcript=PVX_091025.1 | gene=PVX_091025 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=Pv_Sal1_chr09:179286-180121(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091895.1-p1      -            127 15158at5820          -             65    0.0013   16.9   2.0   1   2   5.8e-05     0.046   11.9   0.2     9    44     6    41     4    52 0.89 | transcript=PVX_091895.1 | gene=PVX_091895 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=Pv_Sal1_chr09:931185-931568(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091895.1-p1      -            127 15158at5820          -             65    0.0013   16.9   2.0   2   2     0.012       9.8    4.4   0.1    40    61    56    77    52    80 0.79 | transcript=PVX_091895.1 | gene=PVX_091895 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=Pv_Sal1_chr09:931185-931568(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080230.1-p1      -            103 15158at5820          -             65      0.03   12.5   0.0   1   1   0.00012     0.092   10.9   0.0    14    61    13    71     5    73 0.65 | transcript=PVX_080230.1 | gene=PVX_080230 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=Pv_Sal1_chr10:491219-491908(-) | protein_length=103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089250.1-p1      -             83 15158at5820          -             65     0.033   12.4   0.3   1   1   7.9e-05     0.062   11.5   0.3    17    61    21    73     9    77 0.74 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084490.1-p1      -            107 15158at5820          -             65     0.037   12.2   0.1   1   1   6.8e-05     0.054   11.7   0.1    15    54    25    68    11    76 0.81 | transcript=PVX_084490.1 | gene=PVX_084490 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=Pv_Sal1_chr13:360441-361222(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15158at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15158at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15158at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:15 2026
# [ok]
