#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   1   9   0.00013      0.36    6.8   0.0     2    25    13    36    12    43 0.92 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   2   9    0.0029       8.1    2.3   0.7    24    46   110   132   107   140 0.87 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   3   9   7.6e-07    0.0021   14.2   0.0    43    69   208   234   194   246 0.83 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   4   9     3e-29   8.3e-26   88.3   0.4    68   166   367   491   359   496 0.85 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   5   9   1.7e-14   4.8e-11   39.4   0.1   180   222   687   729   681   732 0.94 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   6   9   5.9e-05      0.16    7.9   0.0   219   235   765   781   761   790 0.88 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   7   9  4.6e-170  1.3e-166  554.5  20.1   236   538   845  1152   841  1155 0.97 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   8   9    8e-100   2.2e-96  322.0  11.8   537   743  1212  1451  1208  1456 0.89 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080480.1-p1      -           1779 1229at5820           -           1016         0 1671.4  73.9   9   9  1.2e-199  3.4e-196  652.4   8.0   737  1016  1500  1779  1491  1779 0.98 | transcript=PVX_080480.1 | gene=PVX_080480 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=Pv_Sal1_chr10:709974-715313(-) | protein_length=1779 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098050.1-p1      -           1525 1229at5820           -           1016   7.8e-32  108.3   4.0   1   2      0.19   5.2e+02   -3.7   0.8   362   439   418   494   401   505 0.61 | transcript=PVX_098050.1 | gene=PVX_098050 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr10:937601-943077(-) | protein_length=1525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098050.1-p1      -           1525 1229at5820           -           1016   7.8e-32  108.3   4.0   2   2   2.8e-35   7.8e-32  108.3   4.0   721  1000  1233  1509  1216  1519 0.82 | transcript=PVX_098050.1 | gene=PVX_098050 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr10:937601-943077(-) | protein_length=1525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1229at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1229at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1229at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:30 2026
# [ok]
