#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111085.1-p1      -            317 11664at5820          -            281  7.9e-147  486.3  49.2   1   1  2.1e-149    9e-147  486.1  49.2     1   281     1   301     1   301 0.95 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 11664at5820          -            281   5.5e-20   70.1  71.7   1   7   1.8e-08   7.5e-06   23.8  12.7    62   157     7   104     3   110 0.88 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 11664at5820          -            281   5.5e-20   70.1  71.7   2   7   1.4e-09   5.9e-07   27.4   6.8    22   126    79   184    79   277 0.88 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 11664at5820          -            281   5.5e-20   70.1  71.7   3   7       5.5   2.3e+03   -4.1   0.1    14    38   374   397   362   403 0.49 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 11664at5820          -            281   5.5e-20   70.1  71.7   4   7    0.0022      0.94    7.0   0.1    35    93   809   873   782   916 0.64 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 11664at5820          -            281   5.5e-20   70.1  71.7   5   7    0.0018      0.75    7.4  13.5    60   168   988  1097   983  1148 0.71 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 11664at5820          -            281   5.5e-20   70.1  71.7   6   7   1.3e-07   5.4e-05   21.0   7.0    50   158  1183  1302  1163  1304 0.79 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 11664at5820          -            281   5.5e-20   70.1  71.7   7   7   2.2e-11   9.4e-09   33.3   5.0    12   138  1244  1371  1234  1382 0.60 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117875.1-p1      -            361 11664at5820          -            281   6.2e-16   56.9  34.7   1   1   2.5e-18   1.1e-15   56.1  34.7    23   230    25   242     9   283 0.77 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 11664at5820          -            281   9.8e-15   52.9  28.9   1   2     5e-17   2.1e-14   51.8  18.9    44   157    10   124     4   137 0.90 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 11664at5820          -            281   9.8e-15   52.9  28.9   2   2    0.0035       1.5    6.4   2.8   221   278   140   199   131   202 0.71 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
