#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122195.1-p1      -            337 11923at5820          -            253  4.7e-136  450.3  53.7   1   1  1.5e-138  6.1e-136  449.9  53.7     1   248    67   321    67   326 0.97 | transcript=PVX_122195.1 | gene=PVX_122195 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr14:368243-369256(-) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 11923at5820          -            253   6.8e-08   30.4   2.4   1   2   1.7e-10   6.8e-08   30.4   2.4    32   111   101   178    87   183 0.86 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 11923at5820          -            253   6.8e-08   30.4   2.4   2   2       6.8   2.7e+03   -4.3   5.4   130   167   307   345   268   376 0.56 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 11923at5820          -            253   2.2e-07   28.7   0.1   1   3       3.6   1.4e+03   -3.4   0.3   213   241    56    88    49    98 0.57 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 11923at5820          -            253   2.2e-07   28.7   0.1   2   3   5.7e-10   2.2e-07   28.7   0.1    44   106   128   191   116   195 0.84 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 11923at5820          -            253   2.2e-07   28.7   0.1   3   3       5.7   2.2e+03   -4.1   0.3   206   246   304   344   287   346 0.50 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 11923at5820          -            253   2.4e-07   28.6   0.2   1   1   8.5e-10   3.3e-07   28.1   0.2    42   105     3    68     1    92 0.86 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 11923at5820          -            253   4.8e-07   27.6   3.5   1   2   1.2e-09   4.8e-07   27.6   3.5    43   116    44   117    35   135 0.87 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 11923at5820          -            253   4.8e-07   27.6   3.5   2   2       1.3   5.2e+02   -2.0   0.8   207   233   229   255   212   273 0.63 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 11923at5820          -            253     9e-07   26.7   0.1   1   2   2.3e-09     9e-07   26.7   0.1    37   106    19    85    12    95 0.85 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 11923at5820          -            253     9e-07   26.7   0.1   2   2       2.1   8.1e+02   -2.6   7.8   139   198   339   402   331   412 0.61 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
