#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002830.1-p1      -           1438 1090at5820           -           1041         0 1870.6  55.2   1   5  1.5e-248  1.6e-245  816.0  20.0     1   387     1   397     1   401 0.98 | transcript=PVX_002830.1 | gene=PVX_002830 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=Pv_Sal1_chr04:307397-312265(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002830.1-p1      -           1438 1090at5820           -           1041         0 1870.6  55.2   2   5   1.1e-52   1.2e-49  167.5   0.4   385   483   422   520   412   526 0.95 | transcript=PVX_002830.1 | gene=PVX_002830 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=Pv_Sal1_chr04:307397-312265(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002830.1-p1      -           1438 1090at5820           -           1041         0 1870.6  55.2   3   5   4.1e-12   4.5e-09   33.2   0.2   480   511   609   640   595   646 0.86 | transcript=PVX_002830.1 | gene=PVX_002830 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=Pv_Sal1_chr04:307397-312265(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002830.1-p1      -           1438 1090at5820           -           1041         0 1870.6  55.2   4   5  8.4e-166  9.3e-163  542.0   0.2   499   854   726  1078   723  1138 0.81 | transcript=PVX_002830.1 | gene=PVX_002830 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=Pv_Sal1_chr04:307397-312265(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002830.1-p1      -           1438 1090at5820           -           1041         0 1870.6  55.2   5   5  6.3e-100     7e-97  323.9  10.4   814  1041  1188  1438  1159  1438 0.85 | transcript=PVX_002830.1 | gene=PVX_002830 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=Pv_Sal1_chr04:307397-312265(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 1090at5820           -           1041   1.5e-07   28.1   0.4   1   2    0.0019       2.1    4.5   0.0   126   212   137   234   129   243 0.67 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 1090at5820           -           1041   1.5e-07   28.1   0.4   2   2   1.2e-08   1.3e-05   21.7   0.2   132   223   323   410   315   416 0.81 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 1090at5820           -           1041   8.1e-05   19.1   2.0   1   1     1e-07   0.00011   18.6   2.0   178   326   333   480   303   514 0.85 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003605.1-p1      -             91 1090at5820           -           1041      0.01   12.2   4.1   1   1   9.5e-06     0.011   12.1   4.1   809   898     2    89     1    91 0.85 | transcript=PVX_003605.1 | gene=PVX_003605 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:742414-743224(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 1090at5820           -           1041      0.33    7.1   3.6   1   3      0.55   6.1e+02   -3.7   0.1   919   952   160   193   132   198 0.72 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 1090at5820           -           1041      0.33    7.1   3.6   2   3    0.0089       9.8    2.3   0.0   139   245   442   549   432   576 0.76 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
