#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123350.1-p1      -           1087 3722at5820           -            653         0 1096.7 121.5   1   4   4.6e-05     0.051   10.5   9.6     1    29    94   122    94   129 0.90 | transcript=PVX_123350.1 | gene=PVX_123350 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr14:1377761-1381024(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123350.1-p1      -           1087 3722at5820           -            653         0 1096.7 121.5   2   4   1.1e-61   1.2e-58  197.5  17.2     7   161   179   334   175   347 0.90 | transcript=PVX_123350.1 | gene=PVX_123350 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr14:1377761-1381024(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123350.1-p1      -           1087 3722at5820           -            653         0 1096.7 121.5   3   4  2.8e-110    3e-107  358.1  26.7   129   367   422   669   394   687 0.80 | transcript=PVX_123350.1 | gene=PVX_123350 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr14:1377761-1381024(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123350.1-p1      -           1087 3722at5820           -            653         0 1096.7 121.5   4   4  2.4e-167  2.6e-164  546.7  42.1   330   653   726  1087   703  1087 0.85 | transcript=PVX_123350.1 | gene=PVX_123350 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr14:1377761-1381024(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 3722at5820           -            653   1.8e-09   35.1   0.9   1   1   2.7e-12     3e-09   34.4   0.9   198   276   321   399   315   420 0.93 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081275.1-p1      -           1548 3722at5820           -            653   8.6e-05   19.6   0.5   1   3         5   5.5e+03  -10.8   7.4   136   184    54   101    28   126 0.58 | transcript=PVX_081275.1 | gene=PVX_081275 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr02:220272-225077(-) | protein_length=1548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081275.1-p1      -           1548 3722at5820           -            653   8.6e-05   19.6   0.5   2   3   7.7e-08   8.6e-05   19.6   0.5   230   275   851   896   810   915 0.74 | transcript=PVX_081275.1 | gene=PVX_081275 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr02:220272-225077(-) | protein_length=1548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081275.1-p1      -           1548 3722at5820           -            653   8.6e-05   19.6   0.5   3   3      0.28   3.1e+02   -2.1   0.0   605   626   909   930   897   932 0.81 | transcript=PVX_081275.1 | gene=PVX_081275 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr02:220272-225077(-) | protein_length=1548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089200.1-p1      -           1521 3722at5820           -            653   0.00028   17.9   0.8   1   2       3.3   3.6e+03   -5.6   1.7   119   172   882   935   881   943 0.82 | transcript=PVX_089200.1 | gene=PVX_089200 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=Pv_Sal1_chr05:372793-378014(-) | protein_length=1521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089200.1-p1      -           1521 3722at5820           -            653   0.00028   17.9   0.8   2   2   2.5e-07   0.00028   17.9   0.8   190   276  1408  1492  1397  1511 0.84 | transcript=PVX_089200.1 | gene=PVX_089200 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=Pv_Sal1_chr05:372793-378014(-) | protein_length=1521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097920.1-p1      -            606 3722at5820           -            653       1.3    5.8  10.8   1   1    0.0018         2    5.2  10.8   508   542    79   114    74   167 0.57 | transcript=PVX_097920.1 | gene=PVX_097920 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like serine protease, putative | transcript_product=subtilisin-like serine protease, putative | location=Pv_Sal1_chr10:1048195-1050015(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
