#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   1  11    2e-205  5.6e-202  671.9  28.2     1   302     1   305     1   311 0.98 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   2  11     4e-15   1.1e-11   41.7   0.4   302   345   368   417   336   421 0.82 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   3  11  4.3e-157  1.2e-153  511.8  19.5   344   568   477   701   474   717 0.97 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   4  11   7.9e-09   2.2e-05   20.8   1.9   565   612   749   800   744   814 0.82 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   5  11   3.6e-06    0.0099   12.0   1.0   593   630   831   868   819   884 0.87 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   6  11     3e-08   8.3e-05   18.9   4.4   632   686   935   997   892  1037 0.70 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   7  11   1.1e-21     3e-18   63.4   6.0   662   767  1201  1331  1113  1352 0.76 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   8  11   3.4e-28   9.4e-25   85.0   5.9   772   843  1621  1691  1582  1709 0.76 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   9  11   6.3e-07    0.0017   14.5   0.0   854   894  1759  1802  1708  1815 0.79 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6  10  11   2.5e-60   6.8e-57  191.4   7.6   881  1015  1821  1961  1811  1978 0.87 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6  11  11   1.8e-43   5.1e-40  135.5   0.1  1004  1125  2007  2142  1996  2142 0.85 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
