#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_110980.1-p1      -            886 2073at5820           -            783         0 1494.9  50.8   1   1         0         0 1491.3  50.8     1   779     1   879     1   886 0.93 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 2073at5820           -            783   3.8e-66  221.9  21.3   1   2   2.9e-45   2.7e-42  143.0   7.7   178   407   161   401   152   407 0.87 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 2073at5820           -            783   3.8e-66  221.9  21.3   2   2   1.4e-27   1.3e-24   84.6   5.6   407   617   494   717   490   722 0.83 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 2073at5820           -            783   4.7e-20   69.5   0.9   1   3   9.1e-07   0.00084   15.7   0.1   178   245   100   169    80   201 0.81 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 2073at5820           -            783   4.7e-20   69.5   0.9   2   3     0.029        27    0.8   0.0   330   389   530   591   521   605 0.82 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 2073at5820           -            783   4.7e-20   69.5   0.9   3   3   6.8e-17   6.3e-14   49.2   0.0   406   488   668   752   658   773 0.86 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2073at5820           -            783   2.7e-13   47.1   5.0   1   3     3e-11   2.8e-08   30.5   0.6   179   356   151   333   147   345 0.74 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2073at5820           -            783   2.7e-13   47.1   5.0   2   3   2.5e-07   0.00023   17.6   0.0   453   485   916   948   910   964 0.87 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 2073at5820           -            783   2.7e-13   47.1   5.0   3   3      0.22   2.1e+02   -2.1   0.1    92   141  1066  1116  1054  1128 0.79 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 2073at5820           -            783   6.6e-13   45.8   0.2   1   3   5.9e-06    0.0054   13.0   0.0   177   232    73   128    57   150 0.86 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 2073at5820           -            783   6.6e-13   45.8   0.2   2   3   2.1e-10     2e-07   27.7   0.1   409   474   568   635   546   645 0.89 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 2073at5820           -            783   6.6e-13   45.8   0.2   3   3     0.038        35    0.4   0.0   472   503   670   701   654   715 0.86 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
