#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   1  16   1.2e-58   6.4e-55  184.6   5.6     1   126     1   133     1   138 0.95 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   2  16   2.9e-51   1.6e-47  160.1  13.3   123   234   194   305   178   330 0.90 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   3  16   1.2e-50   6.7e-47  158.0   2.4   236   339   357   461   345   507 0.87 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   4  16   1.9e-07     0.001   14.8   0.0   350   377   565   592   545   600 0.83 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   5  16   1.6e-41   8.7e-38  127.8   9.6   376   489   637   787   633   790 0.82 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   6  16   5.6e-69   3.1e-65  218.8  10.1   490   649   822  1015   808  1023 0.84 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   7  16   6.4e-39   3.6e-35  119.1   0.6   647   728  1051  1133  1045  1139 0.95 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   8  16     3e-69   1.7e-65  219.7   0.4   719   860  1215  1363  1210  1373 0.93 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1   9  16   4.7e-11   2.6e-07   26.8   0.3   856   889  1386  1419  1373  1424 0.92 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1  10  16   4.5e-27   2.5e-23   79.9   0.5   907   969  1511  1573  1492  1580 0.92 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1  11  16   3.3e-39   1.8e-35  120.1   4.8   976  1046  1670  1740  1654  1750 0.89 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1  12  16   1.8e-13   9.8e-10   34.8   0.1  1045  1083  1826  1864  1817  1867 0.92 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1  13  16   3.6e-53     2e-49  166.4   2.9  1076  1183  1931  2038  1926  2041 0.96 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083370.1-p1      -           2735 382at5820            -           1675         0 2402.8 193.1  14  16   0.00083       4.6    2.7   0.0  1177  1195  2070  2088  2063  2090 0.90 | transcript=PVX_083370.1 | gene=PVX_083370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:162888-171301(+) | protein_length=2735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
